#=====================================================
# File created:        Tue-12-Mar-2024-at-06-50-59AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        1.343966
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2376.0759  0.2564 
   00001    0.6788   -3788.2332  0.2553 
   00002    0.5992   -4428.6358  0.2608 
   00003    0.5660   -4917.2344  0.2620 
   00004    0.5484   -5297.5903  0.2663 
   00005    0.5120   -5629.5158  0.2747 
   00006    0.4956   -5796.7886  0.2795 
   00007    0.4976   -5999.7420  0.2740 
   00008    0.4864   -6108.9975  0.2839 
   00009    0.4972   -6197.9524  0.2764 
   00010    0.4724   -6285.4898  0.2709 
   00011    0.4624   -6436.9860  0.2685 
   00012    0.4624   -6482.5995  0.2703 
   00013    0.4476   -6565.0815  0.2614 
   00014    0.4532   -6677.1477  0.2594 
   00015    0.4440   -6672.0610  0.2631 
   00016    0.4452   -6731.4617  0.2662 
   00017    0.4448   -6786.7638  0.2687 
   00018    0.4500   -6805.1303  0.2727 
   00019    0.4328   -6878.1400  0.2739 
   00020    0.4404   -6892.4921  0.2808 
   00021    0.4328   -6865.8832  0.2853 
   00022    0.4316   -6898.4998  0.2903 
   00023    0.4296   -6970.7836  0.2903 
   00024    0.4388   -6998.6391  0.2907 
   00025    0.4152   -7038.9993  0.2968 
   00026    0.4164   -7036.2023  0.2985 
   00027    0.4380   -7046.4509  0.2975 
   00028    0.4112   -7031.7762  0.2972 
   00029    0.4100   -7119.0565  0.2893 
   00030    0.4296   -7115.2550  0.2880 
   00031    0.4160   -7112.1792  0.2858 
   00032    0.4356   -7183.5788  0.2828 
   00033    0.4144   -7170.2304  0.2966 
   00034    0.4248   -7175.5005  0.2945 
   00035    0.4296   -7157.1067  0.2974 
   00036    0.4140   -7117.4449  0.2959 
   00037    0.4264   -7116.2424  0.3035 
   00038    0.4220   -7130.1556  0.2890 
   00039    0.4288   -7126.2386  0.2980 
   00040    0.4464   -7162.3394  0.3054 
   00041    0.4156   -7171.3848  0.3069 
   00042    0.4320   -7199.7007  0.3032 
   00043    0.4336   -7205.5584  0.3104 
   00044    0.4376   -7157.8504  0.3182 
   00045    0.4192   -7198.3709  0.3170 
   00046    0.4204   -7199.2660  0.3158 
   00047    0.4176   -7238.6669  0.3225 
   00048    0.4292   -7190.5763  0.3267 
   00049    0.4144   -7218.3196  0.3310 
   00050    0.4408   -7220.8423  0.3255 
   00051    0.4084   -7270.9243  0.3281 
   00052    0.4132   -7307.3951  0.3281 
   00053    0.4340   -7284.7119  0.3288 
   00054    0.4228   -7274.0484  0.3279 
   00055    0.4180   -7271.0731  0.3328 
   00056    0.4144   -7238.9292  0.3444 
   00057    0.4184   -7330.4282  0.3498 
   00058    0.4168   -7329.8752  0.3530 
   00059    0.3928   -7335.0501  0.3509 
   00060    0.4192   -7320.6790  0.3477 
   00061    0.4112   -7328.3799  0.3484 
   00062    0.4292   -7389.2533  0.3508 
   00063    0.4164   -7360.3803  0.3556 
   00064    0.4020   -7379.1735  0.3640 
   00065    0.4128   -7443.6576  0.3640 
   00066    0.4016   -7453.6123  0.3703 
   00067    0.3976   -7436.2884  0.3677 
   00068    0.4212   -7476.7134  0.3723 
   00069    0.4172   -7478.3115  0.3711 
   00070    0.4056   -7509.7046  0.3622 
   00071    0.4168   -7442.6272  0.3621 
   00072    0.4224   -7414.9595  0.3512 
   00073    0.3972   -7361.9579  0.3489 
   00074    0.4264   -7335.8589  0.3414 
   00075    0.4384   -7332.8636  0.3392 
   00076    0.4180   -7369.1211  0.3536 
   00077    0.4100   -7382.5816  0.3523 
   00078    0.4112   -7395.7734  0.3605 
   00079    0.4124   -7399.4780  0.3538 
   00080    0.4108   -7406.0520  0.3584 
   00081    0.4260   -7423.5223  0.3624 
   00082    0.4096   -7409.0941  0.3618 
   00083    0.4196   -7342.8148  0.3644 
   00084    0.4180   -7288.6198  0.3549 
   00085    0.4020   -7313.1131  0.3437 
   00086    0.4164   -7337.5246  0.3389 
   00087    0.4112   -7347.7467  0.3436 
   00088    0.4312   -7427.9762  0.3487 
   00089    0.4192   -7363.2497  0.3509 
   00090    0.4192   -7346.3774  0.3501 
   00091    0.4180   -7357.3150  0.3530 
   00092    0.4312   -7309.6923  0.3594 
   00093    0.4268   -7310.4055  0.3720 
   00094    0.4236   -7373.8667  0.3672 
   00095    0.4412   -7386.6982  0.3780 
   00096    0.4152   -7400.0769  0.3733 
   00097    0.3980   -7396.1904  0.3677 
   00098    0.4116   -7370.0122  0.3603 
   00099    0.4320   -7414.7367  0.3573 
   00100    0.4084   -7433.8545  0.3655 
   00101    0.4180   -7449.5584  0.3668 
   00102    0.4212   -7411.7618  0.3797 
   00103    0.4100   -7436.1915  0.3791 
   00104    0.4212   -7467.7374  0.3802 
   00105    0.4052   -7479.4522  0.3797 
   00106    0.4148   -7463.4066  0.3811 
   00107    0.4092   -7495.2471  0.3875 
   00108    0.4060   -7506.1647  0.3890 
   00109    0.4144   -7490.2185  0.3850 
   00110    0.3956   -7553.9064  0.3855 
   00111    0.4024   -7528.9626  0.3846 
   00112    0.4044   -7496.5953  0.3814 
   00113    0.4044   -7503.8836  0.3772 
   00114    0.4068   -7489.2897  0.3752 
   00115    0.4028   -7478.3775  0.3773 
   00116    0.4180   -7539.7318  0.3735 
   00117    0.3940   -7555.9058  0.3841 
   00118    0.4076   -7593.3393  0.3871 
   00119    0.4076   -7537.1079  0.3922 
   00120    0.4128   -7572.0705  0.3874 
   00121    0.4140   -7567.8091  0.3877 
   00122    0.4020   -7588.9375  0.3844 
   00123    0.4360   -7561.6585  0.3868 
   00124    0.4020   -7612.6909  0.3891 
   00125    0.4220   -7544.3144  0.3970 
   00126    0.4044   -7545.2731  0.3910 
   00127    0.4164   -7588.4411  0.3888 
   00128    0.4164   -7553.4388  0.3870 
   00129    0.4060   -7589.7354  0.3950 
   00130    0.4208   -7635.9632  0.3939 
   00131    0.3940   -7581.2250  0.3936 
   00132    0.4220   -7581.6193  0.3967 
   00133    0.4132   -7616.5738  0.4016 
   00134    0.4180   -7599.4438  0.4050 
   00135    0.4096   -7597.3258  0.4076 
   00136    0.4192   -7553.3435  0.4104 
   00137    0.4212   -7566.0622  0.4090 
   00138    0.3992   -7581.3710  0.4177 
   00139    0.4084   -7506.9768  0.4071 
   00140    0.4324   -7572.8670  0.4012 
   00141    0.4276   -7560.5499  0.3979 
   00142    0.3912   -7598.3303  0.4015 
   00143    0.4040   -7586.7477  0.3988 
   00144    0.3932   -7577.6990  0.3894 
   00145    0.4292   -7574.3039  0.3923 
   00146    0.4156   -7542.3743  0.3940 
   00147    0.4108   -7545.5412  0.3975 
   00148    0.4324   -7549.3907  0.3938 
   00149    0.3820   -7551.8929  0.3927 
   00150    0.4196   -7562.7467  0.3961 
   00151    0.4164   -7587.0617  0.4004 
   00152    0.4052   -7589.8383  0.3956 
   00153    0.4120   -7599.2566  0.3894 
   00154    0.4212   -7530.6731  0.3822 
   00155    0.4048   -7559.9212  0.3909 
   00156    0.3916   -7557.1957  0.3946 
   00157    0.4120   -7535.3983  0.3911 
   00158    0.4060   -7552.2899  0.3962 
   00159    0.4132   -7560.6499  0.3957 
   00160    0.4116   -7569.2345  0.4000 
   00161    0.4060   -7552.2044  0.3997 
   00162    0.4076   -7581.3353  0.4034 
   00163    0.4092   -7639.5297  0.4034 
   00164    0.4056   -7676.5926  0.4043 
   00165    0.4128   -7676.5947  0.4054 
   00166    0.4060   -7598.3380  0.4028 
   00167    0.4120   -7581.9829  0.3996 
   00168    0.4160   -7597.4555  0.4013 
   00169    0.4236   -7591.3348  0.3982 
   00170    0.4056   -7621.7141  0.3968 
   00171    0.4128   -7641.6720  0.3995 
   00172    0.3972   -7638.6154  0.4001 
   00173    0.4036   -7615.4353  0.3970 
   00174    0.4000   -7639.1825  0.4014 
   00175    0.4032   -7643.4580  0.3954 
   00176    0.3996   -7657.3674  0.4015 
   00177    0.4076   -7697.0136  0.4044 
   00178    0.3872   -7679.0033  0.4032 
   00179    0.4080   -7705.6647  0.3997 
   00180    0.4088   -7731.8587  0.3958 
   00181    0.3980   -7722.5418  0.3980 
   00182    0.3836   -7711.4081  0.4011 
   00183    0.4076   -7676.3727  0.4000 
   00184    0.4168   -7701.6054  0.3948 
   00185    0.3968   -7634.4031  0.3978 
   00186    0.4044   -7618.5384  0.3962 
   00187    0.4200   -7606.8212  0.4000 
   00188    0.4092   -7610.6962  0.3969 
   00189    0.4216   -7590.5052  0.3968 
   00190    0.4120   -7554.8535  0.3920 
   00191    0.4136   -7550.9574  0.3942 
   00192    0.4244   -7555.9141  0.3945 
   00193    0.3996   -7547.3785  0.3941 
   00194    0.4104   -7591.4743  0.3945 
   00195    0.4040   -7580.9676  0.3907 
   00196    0.4108   -7540.1976  0.3947 
   00197    0.4016   -7505.8552  0.3912 
   00198    0.4128   -7555.0249  0.3896 
   00199    0.4144   -7583.5541  0.3926 
   00200    0.4124   -7564.0514  0.3906 
   00201    0.4148   -7550.4220  0.3922 
   00202    0.4136   -7581.4047  0.3968 
   00203    0.4200   -7595.3846  0.3990 
   00204    0.4084   -7670.8524  0.4055 
   00205    0.4048   -7590.8048  0.4076 
   00206    0.4168   -7592.1028  0.4091 
   00207    0.4244   -7621.2841  0.4105 
   00208    0.4048   -7654.1266  0.4223 
   00209    0.4176   -7608.6746  0.4171 
   00210    0.4124   -7667.3997  0.4149 
   00211    0.3916   -7635.3400  0.4147 
   00212    0.3920   -7673.7591  0.4179 
   00213    0.4156   -7648.5064  0.4165 
   00214    0.3968   -7655.6158  0.4245 
   00215    0.3960   -7699.4918  0.4276 
   00216    0.3900   -7717.4656  0.4257 
   00217    0.4116   -7756.0715  0.4259 
   00218    0.4144   -7770.8690  0.4206 
   00219    0.3944   -7801.0967  0.4211 
   00220    0.4160   -7773.6846  0.4251 
   00221    0.4160   -7721.0422  0.4195 
   00222    0.4060   -7712.0829  0.4104 
   00223    0.4008   -7769.3915  0.4114 
   00224    0.3960   -7718.1695  0.4114 
   00225    0.4100   -7744.9858  0.4119 
   00226    0.4084   -7746.1115  0.4126 
   00227    0.3844   -7730.3789  0.4112 
   00228    0.4180   -7706.1266  0.4087 
   00229    0.3940   -7716.8071  0.4066 
   00230    0.3928   -7708.7652  0.4055 
   00231    0.3948   -7690.1264  0.4061 
   00232    0.4244   -7673.6479  0.4104 
   00233    0.3948   -7685.5117  0.4159 
   00234    0.4044   -7690.8575  0.4149 
   00235    0.3968   -7738.9317  0.4174 
   00236    0.4080   -7748.9420  0.4156 
   00237    0.3800   -7757.1107  0.4180 
   00238    0.3932   -7691.1186  0.4097 
   00239    0.4092   -7640.7356  0.4102 
   00240    0.4096   -7672.5589  0.4071 
   00241    0.4012   -7691.0400  0.4033 
   00242    0.4168   -7630.9415  0.3984 
   00243    0.4312   -7649.2808  0.3997 
   00244    0.3944   -7676.2665  0.4016 
   00245    0.3976   -7659.7493  0.4063 
   00246    0.4216   -7701.9753  0.4087 
   00247    0.4080   -7725.0444  0.4092 
   00248    0.3980   -7752.1650  0.4091 
   00249    0.3984   -7775.6246  0.4183 
   00250    0.4028   -7715.3165  0.4154 
   00251    0.3940   -7683.7190  0.4209 
   00252    0.4156   -7658.2084  0.4130 
   00253    0.4164   -7678.6151  0.4202 
   00254    0.4036   -7680.9819  0.4217 
   00255    0.3940   -7668.0471  0.4197 
   00256    0.4112   -7626.6203  0.4157 
   00257    0.4120   -7615.0105  0.4153 
   00258    0.4096   -7690.0955  0.4133 
   00259    0.4100   -7632.9320  0.4141 
   00260    0.4104   -7576.3887  0.4087 
   00261    0.4044   -7577.0102  0.4080 
   00262    0.4052   -7558.8132  0.4116 
   00263    0.4100   -7592.0804  0.4228 
   00264    0.4044   -7606.5508  0.4247 
   00265    0.4348   -7578.9156  0.4243 
   00266    0.4188   -7616.6675  0.4167 
   00267    0.4048   -7625.0469  0.4086 
   00268    0.4004   -7636.9662  0.4140 
   00269    0.4200   -7597.9656  0.4107 
   00270    0.4080   -7628.9924  0.4091 
   00271    0.3948   -7640.0337  0.4112 
   00272    0.3884   -7692.7747  0.4164 
   00273    0.4024   -7628.5068  0.4192 
   00274    0.4088   -7595.5342  0.4159 
   00275    0.3952   -7609.5531  0.4159 
   00276    0.3924   -7650.0227  0.4156 
   00277    0.3980   -7688.0514  0.4187 
   00278    0.4116   -7700.1984  0.4216 
   00279    0.4068   -7722.9941  0.4143 
   00280    0.3808   -7764.2177  0.4185 
   00281    0.3924   -7747.5264  0.4219 
   00282    0.4036   -7732.8131  0.4216 
   00283    0.4032   -7751.1929  0.4213 
   00284    0.3956   -7772.8600  0.4231 
   00285    0.4052   -7751.5242  0.4248 
   00286    0.3992   -7723.7111  0.4293 
   00287    0.4248   -7682.9691  0.4305 
   00288    0.4080   -7670.6625  0.4309 
   00289    0.3808   -7708.3410  0.4297 
   00290    0.4068   -7695.9403  0.4234 
   00291    0.3860   -7682.3386  0.4235 
   00292    0.4080   -7690.2268  0.4197 
