#=====================================================
# File created:        Tue-12-Mar-2024-at-06-50-48AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        1.323719
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2620.0703  0.2677 
   00001    0.6700   -3853.3014  0.2794 
   00002    0.6060   -4520.1034  0.2796 
   00003    0.5956   -4913.5557  0.2713 
   00004    0.5540   -5219.8413  0.2765 
   00005    0.5224   -5481.7842  0.2938 
   00006    0.4956   -5724.2216  0.2973 
   00007    0.5100   -5875.1143  0.3033 
   00008    0.4920   -6016.7452  0.3010 
   00009    0.4668   -6151.6499  0.3091 
   00010    0.4920   -6265.9744  0.3058 
   00011    0.4760   -6324.5590  0.3102 
   00012    0.4596   -6372.9705  0.3229 
   00013    0.4632   -6456.4364  0.3220 
   00014    0.4728   -6495.4201  0.3295 
   00015    0.4356   -6557.5422  0.3293 
   00016    0.4776   -6598.8786  0.3287 
   00017    0.4588   -6657.4554  0.3247 
   00018    0.4568   -6781.7736  0.3289 
   00019    0.4544   -6789.2967  0.3374 
   00020    0.4508   -6845.9114  0.3497 
   00021    0.4516   -6870.6732  0.3546 
   00022    0.4308   -6957.8490  0.3553 
   00023    0.4488   -6996.2570  0.3585 
   00024    0.4436   -6960.6321  0.3530 
   00025    0.4336   -6936.8290  0.3476 
   00026    0.4496   -6992.4016  0.3379 
   00027    0.4232   -7036.2924  0.3439 
   00028    0.4312   -7037.7735  0.3494 
   00029    0.4320   -7004.5777  0.3435 
   00030    0.4360   -7051.4672  0.3401 
   00031    0.4208   -7008.0397  0.3402 
   00032    0.4416   -7002.4471  0.3424 
   00033    0.4392   -7108.8123  0.3507 
   00034    0.4552   -7136.9486  0.3477 
   00035    0.4352   -7205.2610  0.3451 
   00036    0.4216   -7174.5228  0.3397 
   00037    0.4232   -7154.4695  0.3432 
   00038    0.4340   -7197.9048  0.3436 
   00039    0.4188   -7216.6101  0.3462 
   00040    0.4404   -7204.9493  0.3356 
   00041    0.4528   -7186.9089  0.3381 
   00042    0.4332   -7200.5782  0.3369 
   00043    0.4356   -7200.3975  0.3437 
   00044    0.4224   -7215.4748  0.3492 
   00045    0.4136   -7212.5840  0.3428 
   00046    0.4144   -7191.4511  0.3473 
   00047    0.4316   -7222.2171  0.3457 
   00048    0.4184   -7252.9217  0.3408 
   00049    0.4288   -7279.5966  0.3414 
   00050    0.4200   -7224.0185  0.3422 
   00051    0.4228   -7194.6125  0.3394 
   00052    0.4244   -7193.3748  0.3477 
   00053    0.4476   -7259.7438  0.3369 
   00054    0.4136   -7269.3798  0.3310 
   00055    0.4232   -7205.8645  0.3269 
   00056    0.4396   -7178.7706  0.3230 
   00057    0.4444   -7230.4648  0.3279 
   00058    0.4260   -7300.2418  0.3222 
   00059    0.4244   -7283.5112  0.3292 
   00060    0.4472   -7286.5618  0.3268 
   00061    0.4296   -7238.0408  0.3320 
   00062    0.4360   -7288.6835  0.3291 
   00063    0.4544   -7296.0079  0.3240 
   00064    0.4092   -7325.7110  0.3214 
   00065    0.4224   -7398.8815  0.3222 
   00066    0.3952   -7439.5545  0.3189 
   00067    0.4248   -7392.1100  0.3196 
   00068    0.4228   -7371.5744  0.3120 
   00069    0.4192   -7359.4707  0.3175 
   00070    0.4292   -7342.7395  0.3215 
   00071    0.4052   -7323.8872  0.3158 
   00072    0.4172   -7341.4131  0.3168 
   00073    0.4324   -7361.1713  0.3151 
   00074    0.4452   -7342.5021  0.3068 
   00075    0.4148   -7398.0570  0.3078 
   00076    0.4192   -7367.0013  0.3122 
   00077    0.4244   -7432.9951  0.3044 
   00078    0.4164   -7450.0086  0.3154 
   00079    0.4244   -7463.6697  0.3154 
   00080    0.4272   -7440.9335  0.3200 
   00081    0.4200   -7466.4694  0.3134 
   00082    0.4240   -7475.0137  0.3178 
   00083    0.4236   -7477.0051  0.3133 
   00084    0.4128   -7472.9592  0.3148 
   00085    0.4088   -7465.6321  0.3088 
   00086    0.4204   -7396.6899  0.3144 
   00087    0.4372   -7387.1627  0.3129 
   00088    0.4248   -7416.7179  0.3165 
   00089    0.4224   -7423.6613  0.3167 
   00090    0.4380   -7428.7467  0.3193 
   00091    0.3996   -7438.9976  0.3172 
   00092    0.4124   -7432.1396  0.3268 
   00093    0.4288   -7422.5911  0.3257 
   00094    0.4080   -7436.1520  0.3232 
   00095    0.4072   -7489.2640  0.3159 
   00096    0.4244   -7469.0663  0.3233 
   00097    0.4132   -7398.1410  0.3244 
   00098    0.4280   -7434.1236  0.3139 
   00099    0.4136   -7464.6930  0.3149 
   00100    0.4312   -7514.9821  0.3186 
   00101    0.4252   -7433.4161  0.3141 
   00102    0.4252   -7425.0895  0.3224 
   00103    0.4176   -7420.2194  0.3296 
   00104    0.4016   -7474.9826  0.3280 
   00105    0.4012   -7481.0091  0.3261 
   00106    0.4028   -7475.6438  0.3237 
   00107    0.4212   -7508.3531  0.3270 
   00108    0.3948   -7480.4953  0.3398 
   00109    0.4028   -7504.9933  0.3355 
   00110    0.4168   -7563.2454  0.3401 
