#=====================================================
# File created:        Tue-12-Mar-2024-at-06-56-45AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.067710
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2435.7000  0.2678 
   00001    0.6668   -3702.7941  0.2681 
   00002    0.6240   -4489.3273  0.2722 
   00003    0.5728   -4963.4943  0.2790 
   00004    0.5396   -5349.8953  0.2848 
   00005    0.5296   -5638.9424  0.2827 
   00006    0.5152   -5879.9219  0.2692 
   00007    0.5016   -6095.3381  0.2732 
   00008    0.4768   -6275.8167  0.2776 
   00009    0.4804   -6417.0765  0.2755 
   00010    0.4772   -6589.2480  0.2732 
   00011    0.4972   -6660.4249  0.2773 
   00012    0.4656   -6748.5031  0.2783 
   00013    0.4780   -6887.4864  0.2836 
   00014    0.4640   -6953.4876  0.2814 
   00015    0.4648   -6969.0066  0.2811 
   00016    0.4768   -7007.9688  0.2822 
   00017    0.4564   -7097.0591  0.2900 
   00018    0.4480   -7143.0910  0.2918 
   00019    0.4472   -7159.6983  0.2886 
   00020    0.4612   -7211.6404  0.2943 
   00021    0.4644   -7232.8410  0.2999 
   00022    0.4572   -7312.8074  0.3138 
   00023    0.4432   -7327.2091  0.3145 
   00024    0.4484   -7376.8549  0.3152 
   00025    0.4440   -7367.4937  0.3126 
   00026    0.4516   -7450.7555  0.3168 
   00027    0.4428   -7462.4610  0.3322 
   00028    0.4392   -7466.3947  0.3332 
   00029    0.4224   -7518.5605  0.3395 
   00030    0.4392   -7561.2543  0.3355 
   00031    0.4388   -7553.7911  0.3405 
   00032    0.4364   -7594.9002  0.3405 
   00033    0.4396   -7585.1567  0.3393 
   00034    0.4476   -7624.2343  0.3459 
   00035    0.4512   -7652.5279  0.3466 
   00036    0.4544   -7681.0103  0.3449 
   00037    0.4236   -7670.6747  0.3435 
   00038    0.4336   -7651.1036  0.3436 
   00039    0.4388   -7691.1548  0.3460 
   00040    0.4408   -7682.4473  0.3463 
   00041    0.4484   -7657.0875  0.3458 
   00042    0.4512   -7696.0634  0.3419 
   00043    0.4480   -7692.6418  0.3374 
   00044    0.4256   -7706.4195  0.3403 
   00045    0.4356   -7675.3708  0.3340 
   00046    0.4340   -7682.8327  0.3261 
   00047    0.4452   -7718.4769  0.3342 
   00048    0.4328   -7723.2306  0.3297 
   00049    0.4476   -7756.4446  0.3274 
   00050    0.4400   -7770.2075  0.3317 
