#=====================================================
# File created:        Mon-11-Mar-2024-at-08-53-39AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        4.523330
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2552.1632  0.2664 
   00001    0.6732   -3890.0559  0.2626 
   00002    0.6024   -4583.6950  0.2789 
   00003    0.5656   -5063.3967  0.2783 
   00004    0.5372   -5453.0750  0.2828 
   00005    0.5252   -5734.6820  0.3067 
   00006    0.4824   -6055.5982  0.3099 
   00007    0.4896   -6202.4355  0.3133 
   00008    0.4916   -6386.9068  0.3191 
   00009    0.4800   -6493.6598  0.3204 
   00010    0.4648   -6592.7484  0.3209 
   00011    0.4712   -6668.5229  0.3238 
   00012    0.4728   -6692.8279  0.3284 
   00013    0.4600   -6737.1895  0.3222 
   00014    0.4468   -6827.1623  0.3280 
   00015    0.4520   -6856.5496  0.3293 
   00016    0.4368   -6889.6099  0.3441 
   00017    0.4560   -6902.9072  0.3408 
   00018    0.4476   -6972.5376  0.3406 
   00019    0.4540   -6992.3016  0.3496 
   00020    0.4328   -7045.6234  0.3594 
   00021    0.4308   -7134.0986  0.3605 
   00022    0.4236   -7155.2052  0.3602 
   00023    0.4264   -7144.1819  0.3556 
   00024    0.4380   -7163.1602  0.3486 
   00025    0.4248   -7192.2888  0.3449 
   00026    0.4336   -7265.4895  0.3457 
   00027    0.4352   -7248.6830  0.3482 
   00028    0.4304   -7312.7755  0.3455 
   00029    0.4444   -7334.2486  0.3420 
   00030    0.4232   -7332.0658  0.3437 
   00031    0.4196   -7329.2746  0.3502 
   00032    0.4284   -7334.9275  0.3621 
   00033    0.4268   -7372.0881  0.3618 
   00034    0.4216   -7425.5126  0.3695 
   00035    0.4448   -7396.7936  0.3773 
   00036    0.4276   -7381.0070  0.3818 
   00037    0.4336   -7403.6183  0.3813 
   00038    0.4412   -7428.1198  0.3835 
   00039    0.4272   -7371.9727  0.3939 
   00040    0.4076   -7352.5820  0.3945 
   00041    0.4380   -7342.9963  0.4020 
   00042    0.4360   -7352.3381  0.3937 
   00043    0.4152   -7412.9680  0.3830 
   00044    0.4156   -7453.9082  0.3972 
   00045    0.4140   -7540.4600  0.3935 
   00046    0.4100   -7502.0068  0.3887 
   00047    0.4364   -7477.3417  0.4006 
   00048    0.4236   -7492.3534  0.4057 
   00049    0.4368   -7476.7087  0.4012 
   00050    0.4304   -7473.2108  0.3992 
   00051    0.4200   -7508.7450  0.4010 
   00052    0.4244   -7518.2827  0.4046 
   00053    0.4200   -7578.3245  0.4163 
   00054    0.4072   -7572.9230  0.4141 
   00055    0.4212   -7602.2434  0.4239 
   00056    0.4220   -7654.9792  0.4331 
   00057    0.3948   -7610.3043  0.4283 
   00058    0.4136   -7558.4028  0.4172 
   00059    0.4088   -7568.4168  0.4234 
   00060    0.4232   -7517.3813  0.4236 
   00061    0.4148   -7555.6073  0.4254 
   00062    0.4292   -7627.5360  0.4318 
   00063    0.4160   -7606.0908  0.4361 
   00064    0.3956   -7694.6586  0.4346 
   00065    0.4136   -7723.3471  0.4309 
   00066    0.4204   -7668.4234  0.4383 
   00067    0.4028   -7727.1798  0.4502 
   00068    0.4232   -7682.8547  0.4462 
   00069    0.4052   -7680.1704  0.4419 
   00070    0.4080   -7724.5959  0.4428 
   00071    0.4088   -7717.8551  0.4383 
   00072    0.4356   -7705.0015  0.4367 
   00073    0.4208   -7728.2721  0.4387 
   00074    0.4148   -7663.2896  0.4297 
   00075    0.4128   -7626.8379  0.4321 
   00076    0.4180   -7681.8475  0.4244 
   00077    0.4172   -7735.3461  0.4316 
   00078    0.4200   -7730.2461  0.4404 
   00079    0.4020   -7729.8760  0.4426 
   00080    0.4160   -7790.8831  0.4436 
   00081    0.4140   -7764.2442  0.4386 
   00082    0.4100   -7729.2945  0.4442 
   00083    0.4204   -7727.8826  0.4421 
   00084    0.4144   -7702.2540  0.4367 
   00085    0.3996   -7719.5137  0.4338 
   00086    0.4076   -7725.5613  0.4407 
   00087    0.3916   -7729.7885  0.4421 
   00088    0.4140   -7774.8709  0.4439 
   00089    0.3980   -7745.0231  0.4489 
   00090    0.4100   -7788.0053  0.4527 
   00091    0.4040   -7753.7001  0.4553 
   00092    0.4160   -7783.7968  0.4544 
   00093    0.4000   -7794.9030  0.4551 
   00094    0.4044   -7864.3692  0.4576 
   00095    0.4128   -7838.8627  0.4577 
   00096    0.4156   -7815.5806  0.4654 
   00097    0.4180   -7826.4856  0.4646 
   00098    0.4160   -7794.5559  0.4678 
   00099    0.4068   -7787.6644  0.4657 
   00100    0.4024   -7787.2881  0.4737 
   00101    0.4048   -7792.7182  0.4694 
   00102    0.3956   -7781.1109  0.4772 
   00103    0.4064   -7746.4915  0.4796 
   00104    0.4232   -7773.6037  0.4886 
   00105    0.4080   -7740.6319  0.4905 
   00106    0.4188   -7736.0885  0.4889 
   00107    0.4316   -7692.5354  0.4857 
   00108    0.4032   -7649.7470  0.4822 
   00109    0.4240   -7682.1864  0.4847 
   00110    0.4124   -7708.0091  0.5014 
   00111    0.4108   -7694.3792  0.4977 
   00112    0.4300   -7725.8650  0.5005 
   00113    0.4320   -7683.9488  0.4963 
   00114    0.4200   -7755.8833  0.4971 
   00115    0.4064   -7691.6140  0.5002 
   00116    0.4256   -7658.7787  0.4991 
   00117    0.4100   -7696.7774  0.5022 
   00118    0.4108   -7695.1987  0.5026 
   00119    0.4188   -7776.2898  0.5071 
   00120    0.4036   -7740.7917  0.5126 
   00121    0.4024   -7735.0762  0.5046 
   00122    0.4108   -7711.7073  0.5128 
   00123    0.4328   -7627.6484  0.5063 
   00124    0.4096   -7624.6020  0.5032 
   00125    0.4364   -7602.1153  0.5028 
   00126    0.4268   -7629.8629  0.5054 
   00127    0.3996   -7652.2785  0.5053 
   00128    0.4188   -7647.1842  0.5096 
   00129    0.4036   -7653.4672  0.5090 
   00130    0.4256   -7642.9362  0.5164 
   00131    0.4276   -7652.0942  0.5133 
   00132    0.4164   -7684.3894  0.5150 
   00133    0.4084   -7602.9219  0.5121 
   00134    0.4140   -7603.1426  0.5145 
   00135    0.4140   -7661.3450  0.5197 
   00136    0.4148   -7697.8139  0.5122 
   00137    0.4268   -7739.4643  0.5140 
   00138    0.4088   -7753.0372  0.5163 
   00139    0.4172   -7746.0812  0.5138 
   00140    0.4120   -7745.5619  0.5194 
   00141    0.4128   -7693.8660  0.5199 
   00142    0.4120   -7799.4307  0.5169 
   00143    0.3908   -7752.9567  0.5144 
   00144    0.4152   -7727.5908  0.5182 
   00145    0.4288   -7801.3874  0.5238 
   00146    0.4200   -7877.1629  0.5278 
   00147    0.3956   -7867.4896  0.5277 
   00148    0.4204   -7851.1081  0.5281 
   00149    0.3960   -7900.2374  0.5301 
   00150    0.4032   -7909.5255  0.5335 
   00151    0.4188   -7873.8153  0.5384 
   00152    0.4044   -7870.0052  0.5359 
   00153    0.3956   -7875.1071  0.5335 
   00154    0.4068   -7780.4167  0.5347 
   00155    0.4116   -7794.9209  0.5402 
   00156    0.4096   -7828.2190  0.5458 
   00157    0.4036   -7838.5753  0.5445 
   00158    0.4116   -7879.3469  0.5390 
   00159    0.4020   -7868.8387  0.5395 
   00160    0.3944   -7815.2804  0.5403 
   00161    0.4024   -7816.8974  0.5489 
   00162    0.4084   -7740.0448  0.5478 
   00163    0.3968   -7754.8441  0.5519 
   00164    0.4212   -7787.9191  0.5520 
   00165    0.4152   -7777.1439  0.5551 
   00166    0.4056   -7799.8003  0.5557 
   00167    0.4036   -7816.2224  0.5538 
   00168    0.4100   -7783.2858  0.5479 
   00169    0.4116   -7770.2771  0.5456 
   00170    0.4168   -7727.4809  0.5406 
   00171    0.4096   -7739.3867  0.5334 
   00172    0.3988   -7797.4202  0.5288 
   00173    0.3956   -7689.8884  0.5320 
   00174    0.4112   -7735.6759  0.5270 
   00175    0.4140   -7708.8946  0.5246 
   00176    0.4216   -7790.3624  0.5358 
   00177    0.4072   -7792.2876  0.5385 
   00178    0.4000   -7835.5911  0.5390 
   00179    0.4028   -7877.1214  0.5401 
   00180    0.3892   -7846.9504  0.5330 
   00181    0.3980   -7926.2910  0.5314 
   00182    0.3864   -7886.0680  0.5275 
   00183    0.4068   -7892.7381  0.5251 
   00184    0.3996   -7906.9442  0.5232 
   00185    0.4012   -7917.2340  0.5183 
   00186    0.3952   -7942.8283  0.5244 
   00187    0.4144   -7911.5575  0.5202 
   00188    0.3968   -7917.5181  0.5230 
   00189    0.4108   -7956.6047  0.5169 
   00190    0.4096   -7970.9966  0.5218 
   00191    0.4040   -7905.7286  0.5156 
   00192    0.4028   -7827.9437  0.5166 
   00193    0.3964   -7856.5860  0.5139 
   00194    0.4040   -7834.4911  0.5099 
   00195    0.4112   -7861.2351  0.5119 
   00196    0.4044   -7846.3959  0.5188 
   00197    0.4068   -7835.9544  0.5228 
   00198    0.4076   -7874.6539  0.5273 
   00199    0.4004   -7948.9079  0.5249 
   00200    0.3996   -7940.9048  0.5231 
   00201    0.3980   -7913.2199  0.5228 
   00202    0.3980   -7938.5724  0.5201 
   00203    0.3928   -7983.6152  0.5183 
   00204    0.3996   -7957.4920  0.5170 
   00205    0.3912   -7933.3576  0.5221 
   00206    0.4032   -7886.6378  0.5249 
   00207    0.4096   -7823.5809  0.5281 
   00208    0.4072   -7848.4471  0.5295 
   00209    0.3980   -7843.5780  0.5310 
   00210    0.3960   -7870.1914  0.5275 
   00211    0.4316   -7891.3557  0.5262 
   00212    0.4020   -7911.3373  0.5172 
   00213    0.4024   -7883.9032  0.5132 
   00214    0.4048   -7926.1390  0.5170 
   00215    0.4108   -7933.1250  0.5128 
   00216    0.4012   -7894.1579  0.5088 
   00217    0.3932   -7863.1663  0.5033 
   00218    0.4028   -7911.1638  0.5086 
   00219    0.3936   -7938.7350  0.5136 
   00220    0.3880   -7937.2348  0.5072 
   00221    0.4004   -7922.1592  0.5072 
   00222    0.4016   -7912.0713  0.5028 
   00223    0.4080   -7968.4579  0.5041 
   00224    0.3916   -7942.0219  0.5072 
   00225    0.3944   -7972.4532  0.5096 
   00226    0.3856   -7985.8437  0.5152 
   00227    0.4096   -7981.2246  0.5165 
   00228    0.3900   -7925.3073  0.5151 
   00229    0.3856   -7960.0211  0.5233 
   00230    0.3972   -7937.2784  0.5248 
   00231    0.3836   -7912.4562  0.5251 
   00232    0.4192   -7924.3028  0.5253 
   00233    0.3840   -7854.2469  0.5151 
   00234    0.3932   -7881.7663  0.5115 
   00235    0.4044   -7954.4649  0.5136 
   00236    0.3976   -7936.6902  0.5048 
   00237    0.3972   -7930.3432  0.5092 
   00238    0.4028   -7885.9009  0.5135 
   00239    0.3948   -7934.5654  0.5200 
   00240    0.4076   -7884.1957  0.5139 
   00241    0.4148   -7932.3845  0.5188 
   00242    0.4112   -7936.8335  0.5156 
   00243    0.4104   -7876.1179  0.5066 
   00244    0.4156   -7849.8369  0.5091 
   00245    0.4052   -7904.4069  0.5141 
   00246    0.3924   -7887.9860  0.5131 
   00247    0.4016   -7891.6292  0.5155 
   00248    0.4008   -7924.9571  0.5204 
   00249    0.3948   -7902.6461  0.5149 
   00250    0.4076   -7899.0672  0.5125 
   00251    0.3916   -7923.0825  0.5130 
   00252    0.4056   -7924.8275  0.5155 
   00253    0.3908   -7911.3413  0.5163 
   00254    0.4088   -7950.6208  0.5110 
   00255    0.4060   -7951.5724  0.5169 
   00256    0.4052   -7947.6420  0.5144 
   00257    0.4076   -7888.3754  0.5149 
   00258    0.4016   -7908.5678  0.5087 
   00259    0.4100   -7880.4460  0.5136 
   00260    0.3864   -7913.1591  0.5150 
   00261    0.3940   -7916.4272  0.5119 
   00262    0.3892   -7939.6603  0.5152 
   00263    0.4036   -7972.1699  0.5221 
   00264    0.3940   -7991.0391  0.5120 
   00265    0.4016   -8072.7062  0.5130 
   00266    0.3828   -8057.4740  0.5153 
   00267    0.4204   -8079.0408  0.5214 
   00268    0.3948   -8016.8736  0.5190 
   00269    0.3804   -8028.9865  0.5271 
   00270    0.3904   -7992.6147  0.5215 
   00271    0.3924   -7989.8140  0.5274 
   00272    0.3844   -8001.6266  0.5216 
   00273    0.4048   -7907.4790  0.5148 
   00274    0.4060   -7881.9710  0.5162 
   00275    0.4048   -7907.0761  0.5173 
   00276    0.4136   -7850.2394  0.5286 
   00277    0.3988   -7914.3879  0.5272 
   00278    0.3964   -7857.2987  0.5297 
   00279    0.4044   -7881.0326  0.5320 
   00280    0.4004   -7877.1280  0.5367 
   00281    0.4088   -7927.1705  0.5489 
   00282    0.3816   -7893.9193  0.5399 
   00283    0.4168   -7866.7647  0.5367 
   00284    0.4048   -7854.8457  0.5358 
   00285    0.4144   -7852.8799  0.5416 
   00286    0.4176   -7811.9479  0.5377 
   00287    0.4012   -7793.5355  0.5350 
   00288    0.4128   -7791.6718  0.5360 
   00289    0.4292   -7883.8438  0.5412 
   00290    0.4268   -7867.6386  0.5426 
   00291    0.4036   -7888.8628  0.5380 
   00292    0.4092   -7887.9528  0.5376 
   00293    0.4004   -7919.7053  0.5454 
   00294    0.3948   -7924.6849  0.5484 
   00295    0.4020   -7941.9241  0.5608 
   00296    0.4180   -7924.2784  0.5592 
   00297    0.4056   -7896.6607  0.5593 
   00298    0.4020   -7887.7277  0.5610 
   00299    0.4152   -7926.6847  0.5618 
   00300    0.4276   -7914.7424  0.5547 
   00301    0.4064   -7917.6498  0.5542 
   00302    0.4168   -7853.8823  0.5553 
   00303    0.4020   -7847.8429  0.5642 
   00304    0.4076   -7837.2941  0.5668 
   00305    0.4196   -7888.5292  0.5695 
   00306    0.3956   -7851.9414  0.5719 
   00307    0.4032   -7861.4403  0.5728 
   00308    0.3880   -7916.6242  0.5743 
   00309    0.3936   -7947.5159  0.5858 
   00310    0.4232   -8017.5720  0.5911 
   00311    0.3936   -7976.2714  0.5977 
   00312    0.4048   -7967.6883  0.5933 
   00313    0.3956   -7967.0921  0.5890 
   00314    0.4088   -7954.3655  0.5839 
   00315    0.3976   -7953.5075  0.5790 
   00316    0.4192   -7937.8876  0.5810 
   00317    0.4052   -7974.4854  0.5845 
   00318    0.4012   -7958.2148  0.5809 
   00319    0.3944   -7923.3686  0.5699 
   00320    0.3928   -7918.6634  0.5645 
   00321    0.4072   -7985.2593  0.5723 
   00322    0.4048   -7983.2143  0.5758 
   00323    0.3976   -8008.4893  0.5719 
   00324    0.3880   -8051.7822  0.5636 
   00325    0.3952   -8033.3602  0.5655 
   00326    0.3860   -7903.0738  0.5680 
   00327    0.4080   -7892.1211  0.5661 
   00328    0.4208   -7824.6571  0.5632 
   00329    0.4132   -7792.1459  0.5623 
   00330    0.4012   -7801.3607  0.5678 
   00331    0.3952   -7790.2607  0.5672 
   00332    0.4064   -7810.8266  0.5674 
   00333    0.4168   -7827.5807  0.5616 
   00334    0.3936   -7852.9103  0.5660 
   00335    0.4040   -7846.8042  0.5699 
   00336    0.4020   -7854.2683  0.5727 
   00337    0.4132   -7838.8461  0.5780 
   00338    0.4052   -7827.5642  0.5766 
   00339    0.4136   -7838.6272  0.5789 
   00340    0.4108   -7820.2972  0.5750 
   00341    0.3904   -7855.2145  0.5708 
   00342    0.3968   -7964.2514  0.5711 
   00343    0.4032   -7983.5520  0.5639 
   00344    0.4008   -8011.7679  0.5668 
   00345    0.4020   -7952.2077  0.5618 
   00346    0.4060   -7925.4243  0.5649 
   00347    0.4076   -7923.7333  0.5735 
   00348    0.4060   -7884.1598  0.5740 
   00349    0.3968   -7852.1005  0.5671 
   00350    0.3828   -7877.6680  0.5596 
   00351    0.4152   -7934.4045  0.5659 
   00352    0.4124   -7935.5054  0.5682 
   00353    0.3956   -7921.8864  0.5578 
   00354    0.3980   -7924.5707  0.5540 
   00355    0.4176   -7882.8353  0.5497 
   00356    0.4052   -7942.8480  0.5571 
   00357    0.4016   -7895.4102  0.5563 
   00358    0.4108   -7906.5421  0.5591 
   00359    0.4176   -7813.0116  0.5555 
   00360    0.4144   -7852.1136  0.5573 
   00361    0.4052   -7902.7383  0.5607 
   00362    0.4012   -7882.1635  0.5618 
   00363    0.4036   -7914.3245  0.5644 
   00364    0.4040   -7898.0610  0.5601 
   00365    0.3920   -7881.1055  0.5619 
   00366    0.4340   -7871.0269  0.5613 
   00367    0.3992   -7900.6456  0.5638 
   00368    0.4132   -7924.7235  0.5696 
   00369    0.3972   -7881.5439  0.5715 
   00370    0.4140   -7938.5535  0.5683 
   00371    0.4136   -7930.3468  0.5687 
   00372    0.3936   -7939.8347  0.5750 
   00373    0.3924   -7942.8782  0.5773 
   00374    0.4036   -7927.0280  0.5791 
   00375    0.4004   -7942.5419  0.5753 
   00376    0.3960   -7877.3954  0.5725 
   00377    0.3952   -7883.6947  0.5726 
   00378    0.4136   -7908.0171  0.5736 
   00379    0.3976   -7962.8952  0.5697 
   00380    0.3964   -7908.2941  0.5668 
   00381    0.4160   -7868.4374  0.5682 
   00382    0.4100   -7862.0892  0.5672 
   00383    0.3976   -7954.1460  0.5753 
   00384    0.4052   -7979.5147  0.5739 
   00385    0.4064   -8001.3869  0.5805 
   00386    0.4036   -8024.9687  0.5889 
   00387    0.3988   -7952.0715  0.5838 
   00388    0.4024   -7946.1284  0.5889 
   00389    0.4168   -7900.7412  0.5932 
   00390    0.4052   -7966.2738  0.5913 
   00391    0.3876   -7944.5320  0.5921 
   00392    0.3856   -7961.4128  0.5854 
   00393    0.3776   -7969.3990  0.5805 
   00394    0.3872   -7998.3521  0.5874 
   00395    0.3980   -7968.8214  0.5912 
   00396    0.3964   -7922.9384  0.5863 
   00397    0.4036   -7837.5532  0.5879 
   00398    0.4248   -7785.4975  0.5790 
   00399    0.4132   -7789.8803  0.5771 
   00400    0.3852   -7843.3424  0.5828 
   00401    0.4124   -7899.4681  0.5851 
   00402    0.4076   -7918.6615  0.5879 
   00403    0.4076   -7950.8109  0.5894 
   00404    0.4224   -7951.2450  0.5848 
   00405    0.3944   -7944.6231  0.5853 
   00406    0.4068   -7980.6394  0.5888 
   00407    0.4032   -8012.8483  0.5862 
   00408    0.4160   -7940.6570  0.5794 
   00409    0.4008   -7929.6381  0.5782 
   00410    0.4180   -7866.7949  0.5764 
   00411    0.4036   -7857.1875  0.5810 
   00412    0.4208   -7892.1794  0.5855 
   00413    0.4064   -7902.9245  0.5905 
   00414    0.4104   -7856.1977  0.5885 
   00415    0.4108   -7846.7792  0.5982 
   00416    0.4072   -7887.2692  0.6036 
   00417    0.3900   -7980.7707  0.6030 
   00418    0.4168   -8000.8684  0.6050 
   00419    0.3992   -7992.4329  0.6096 
   00420    0.4188   -7961.8663  0.6091 
   00421    0.4148   -7908.5321  0.6065 
   00422    0.4052   -7995.3163  0.6093 
   00423    0.4140   -7976.3181  0.6046 
   00424    0.4004   -7952.3297  0.6003 
   00425    0.4092   -7912.2825  0.6118 
   00426    0.3900   -7948.1073  0.6070 
   00427    0.3992   -7909.5390  0.6089 
   00428    0.3852   -7971.9154  0.6078 
   00429    0.3976   -8016.5052  0.6036 
   00430    0.3956   -7973.2797  0.6044 
   00431    0.3980   -7985.8528  0.6069 
   00432    0.4100   -8018.8966  0.6069 
   00433    0.3872   -7993.0084  0.6130 
   00434    0.3940   -7972.8450  0.6115 
   00435    0.4084   -7968.4625  0.6179 
   00436    0.4140   -7978.9094  0.6169 
   00437    0.3988   -7995.2750  0.6177 
   00438    0.4080   -7991.0723  0.6229 
   00439    0.4116   -8035.8117  0.6250 
   00440    0.3936   -8046.7089  0.6231 
   00441    0.3800   -8052.1222  0.6301 
   00442    0.3956   -8056.9809  0.6255 
   00443    0.4000   -8083.4301  0.6228 
   00444    0.3968   -8094.5672  0.6081 
   00445    0.3980   -8038.5847  0.6100 
   00446    0.3972   -8128.4603  0.6092 
   00447    0.3968   -8070.5094  0.6049 
   00448    0.3932   -8027.3623  0.6063 
   00449    0.4004   -7974.4665  0.6085 
   00450    0.3968   -7967.6650  0.6065 
   00451    0.3976   -8039.3448  0.6064 
   00452    0.4088   -8019.8819  0.6043 
   00453    0.4068   -8014.4154  0.6054 
   00454    0.3992   -8012.4806  0.6093 
   00455    0.4028   -8016.7490  0.6129 
   00456    0.4036   -8000.6897  0.6117 
   00457    0.3908   -7978.1019  0.6082 
   00458    0.3916   -7967.3553  0.6090 
   00459    0.4224   -7953.4102  0.6090 
   00460    0.3884   -7961.4752  0.6053 
   00461    0.3896   -7961.1051  0.6048 
   00462    0.3840   -7974.1826  0.6045 
   00463    0.4032   -7969.6585  0.5977 
   00464    0.3800   -8001.2161  0.5942 
   00465    0.4016   -8003.6804  0.5906 
   00466    0.3860   -7964.1829  0.5939 
   00467    0.4072   -7955.9367  0.5932 
   00468    0.4044   -7965.3151  0.5890 
   00469    0.3964   -7922.5627  0.5929 
   00470    0.3908   -7909.2084  0.5942 
   00471    0.3992   -7869.3823  0.5995 
   00472    0.3844   -7922.2490  0.5989 
   00473    0.3964   -7971.6332  0.6123 
   00474    0.3992   -8036.2715  0.6205 
   00475    0.4040   -8031.9621  0.6148 
   00476    0.3764   -8016.2034  0.6148 
   00477    0.3932   -8011.3916  0.6191 
   00478    0.3832   -8050.1647  0.6265 
   00479    0.3840   -8008.9555  0.6252 
   00480    0.4048   -8054.9063  0.6317 
   00481    0.3868   -7982.1381  0.6310 
   00482    0.3972   -8002.5245  0.6378 
   00483    0.3832   -8036.4038  0.6396 
   00484    0.4068   -8051.3006  0.6442 
   00485    0.3980   -8014.0244  0.6519 
   00486    0.3928   -7997.1623  0.6542 
   00487    0.3872   -7963.2177  0.6516 
   00488    0.4100   -7939.4521  0.6458 
   00489    0.3892   -7925.1926  0.6406 
   00490    0.4028   -7948.0379  0.6358 
   00491    0.3928   -7936.0077  0.6346 
   00492    0.3936   -7931.8579  0.6404 
   00493    0.3880   -7970.9201  0.6353 
   00494    0.4012   -7992.9570  0.6397 
   00495    0.3904   -7931.4842  0.6364 
   00496    0.4056   -7876.4237  0.6320 
   00497    0.3864   -7830.3957  0.6332 
   00498    0.4112   -7888.8592  0.6353 
   00499    0.3912   -7932.6407  0.6387 
   00500    0.4180   -7933.4054  0.6421 
   00501    0.3916   -7896.0976  0.6434 
   00502    0.4048   -7895.0702  0.6464 
   00503    0.3920   -7929.3923  0.6392 
   00504    0.4080   -7953.2524  0.6377 
   00505    0.3976   -7974.4654  0.6442 
   00506    0.3928   -7963.6900  0.6522 
