LebwohlLasher6.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.389, Time: 0.761191 s
         12028564 function calls (11355259 primitive calls) in 4.340 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       59    0.001    0.000    0.211    0.004 compiler.py:412(__init__)
      301    0.001    0.000    0.209    0.001 module.py:233(__repr__)
103594/44290    0.026    0.000    0.207    0.000 _utils.py:44(__str__)
      301    0.001    0.000    0.206    0.001 module.py:207(_get_body_lines)
      301    0.001    0.000    0.205    0.001 module.py:212(<listcomp>)
      691    0.002    0.000    0.198    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
      928    0.000    0.000    0.197    0.000 values.py:1010(__str__)
      928    0.000    0.000    0.196    0.000 values.py:1003(descr)
273793/47477    0.141    0.000    0.191    0.000 ir.py:317(_rec_list_vars)
190030/97032    0.048    0.000    0.190    0.000 {method 'format' of 'str' objects}
     1615    0.062    0.000    0.186    0.000 pprint.py:377(_format_dict_items)
147590/75545    0.028    0.000    0.186    0.000 pprint.py:463(format)
      541    0.004    0.000    0.182    0.000 cpu.py:60(load_additional_registries)
      108    0.001    0.000    0.179    0.002 values.py:996(descr_body)
     2778    0.002    0.000    0.178    0.000 values.py:1139(descr)
       10    0.000    0.000    0.178    0.018 numbers.py:206(int_power_impl)
     2778    0.004    0.000    0.174    0.000 values.py:1141(<listcomp>)
    39336    0.009    0.000    0.171    0.000 ir.py:350(list_vars)
147590/75545    0.064    0.000    0.170    0.000 pprint.py:551(_safe_repr)
      645    0.001    0.000    0.161    0.000 typeinfer.py:699(__call__)
       59    0.000    0.000    0.158    0.003 untyped_passes.py:79(run_pass)
       59    0.002    0.000    0.158    0.003 interpreter.py:1352(interpret)
       25    0.000    0.000    0.157    0.006 npyimpl.py:335(numpy_ufunc_kernel)
    29358    0.027    0.000    0.156    0.000 values.py:544(_to_string)
      100    0.000    0.000    0.153    0.002 artist.py:159(_update_set_signature_and_docstring)
90314/85112    0.015    0.000    0.152    0.000 {built-in method builtins.next}
       99    0.000    0.000    0.151    0.002 artist.py:126(__init_subclass__)
      590    0.025    0.000    0.147    0.000 analysis.py:23(compute_use_defs)
      691    0.001    0.000    0.144    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
    57188    0.030    0.000    0.137    0.000 event.py:209(broadcast)
       33    0.000    0.000    0.135    0.004 lowering.py:301(create_cfunc_wrapper)
       33    0.001    0.000    0.135    0.004 cpu.py:193(create_cfunc_wrapper)
       11    0.000    0.000    0.132    0.012 npyimpl.py:229(_build_array)
        1    0.000    0.000    0.131    0.131 config.py:1(<module>)
      531    0.000    0.000    0.130    0.000 postproc.py:42(usedefs)
28052/24805    0.047    0.000    0.129    0.000 {built-in method builtins.sorted}
      118    0.005    0.000    0.129    0.001 registry.py:54(apply)
        1    0.000    0.000    0.128    0.128 arrayobj.py:2109(array_ravel)
  1795277    0.097    0.000    0.123    0.000 {built-in method builtins.isinstance}
      101    0.000    0.000    0.122    0.001 codegen.py:732(add_llvm_module)
        1    0.000    0.000    0.120    0.120 figure.py:1(<module>)
      112    0.000    0.000    0.119    0.001 artist.py:1841(kwdoc)
        1    0.000    0.000    0.117    0.117 colorbar.py:1(<module>)
    24775    0.010    0.000    0.116    0.000 ffi.py:74(__exit__)
      101    0.003    0.000    0.113    0.001 codegen.py:651(_optimize_functions)
    28594    0.016    0.000    0.112    0.000 event.py:404(end_event)
        1    0.000    0.000    0.107    0.107 dylib.py:1(<module>)
        1    0.000    0.000    0.106    0.106 ffi.py:1(<module>)
    28403    0.038    0.000    0.106    0.000 instructions.py:13(__init__)
    24772    0.006    0.000    0.104    0.000 base.py:1246(exit_fn)
        2    0.000    0.000    0.104    0.052 __init__.py:342(__init__)
        2    0.104    0.052    0.104    0.052 {built-in method _ctypes.dlopen}
20989/18388    0.005    0.000    0.104    0.000 contextlib.py:132(__enter__)
   113392    0.045    0.000    0.103    0.000 event.py:243(notify)
        1    0.000    0.000    0.102    0.102 arrayobj.py:2070(array_reshape_vararg)
        1    0.000    0.000    0.102    0.102 arrayobj.py:2005(array_reshape)
      112    0.003    0.000    0.102    0.001 artist.py:1602(pprint_setters)
       19    0.000    0.000    0.100    0.005 arrayobj.py:4040(_empty_nd_impl)
      691    0.099    0.000    0.099    0.000 {method 'read' of '_io.BufferedReader' objects}
       59    0.000    0.000    0.095    0.002 typed_passes.py:224(run_pass)
    24775    0.010    0.000    0.095    0.000 ffi.py:68(__enter__)
    28594    0.016    0.000    0.089    0.000 event.py:390(start_event)
        4    0.000    0.000    0.089    0.022 arrayobj.py:4007(make_array_nditer)
        4    0.000    0.000    0.087    0.022 arrayobj.py:3372(init_specific)
    23023    0.005    0.000    0.087    0.000 ir.py:598(list_vars)
382445/381934    0.043    0.000    0.085    0.000 {built-in method builtins.getattr}
     4050    0.007    0.000    0.084    0.000 artist.py:1474(get_valid_values)
       59    0.001    0.000    0.083    0.001 untyped_passes.py:192(run_pass)
    24772    0.006    0.000    0.083    0.000 base.py:1243(enter_fn)
    36935    0.014    0.000    0.081    0.000 values.py:537(__init__)
        1    0.000    0.000    0.080    0.080 arraymath.py:162(array_sum)
        8    0.000    0.000    0.080    0.010 lowering.py:288(create_cpython_wrapper)
        8    0.000    0.000    0.080    0.010 cpu.py:181(create_cpython_wrapper)
        1    0.000    0.000    0.076    0.076 randomimpl.py:365(_impl)
77682/77242    0.049    0.000    0.076    0.000 _utils.py:54(get_reference)
     7019    0.004    0.000    0.074    0.000 module.py:220(__next__)
     4869    0.002    0.000    0.073    0.000 targetconfig.py:196(values)
       59    0.000    0.000    0.073    0.001 untyped_passes.py:224(run_pass)
     4869    0.015    0.000    0.071    0.000 targetconfig.py:199(<dictcomp>)
     4191    0.010    0.000    0.069    0.000 errors.py:301(_markup)
        1    0.000    0.000    0.068    0.068 contour.py:1(<module>)
    38141    0.013    0.000    0.067    0.000 values.py:557(_set_name)
     1116    0.001    0.000    0.067    0.000 npydecl.py:201(generic)
     2760    0.004    0.000    0.067    0.000 context.py:360(_call_incref_decref)
     1839    0.002    0.000    0.066    0.000 errors.py:508(__init__)
     1158    0.005    0.000    0.066    0.000 npydecl.py:97(generic)
        1    0.000    0.000    0.065    0.065 backend_bases.py:1(<module>)
  600/355    0.000    0.000    0.065    0.000 context.py:153(refresh)
       59    0.000    0.000    0.063    0.001 untyped_passes.py:1711(run_pass)
  919/712    0.002    0.000    0.063    0.000 base.py:526(get_function)
       25    0.000    0.000    0.063    0.003 lowering.py:596(lower_setitem)
     1816    0.003    0.000    0.063    0.000 builder.py:297(if_then)
      205    0.000    0.000    0.061    0.000 codegen.py:719(add_linking_library)
        3    0.000    0.000    0.060    0.020 decorators.py:1(<module>)
     6793    0.037    0.000    0.059    0.000 inspect.py:867(cleandoc)
      383    0.002    0.000    0.059    0.000 cgutils.py:99(__init__)
     3351    0.001    0.000    0.059    0.000 errors.py:316(errmsg)
6605/2760    0.008    0.000    0.058    0.000 context.py:343(get_meminfos)
     1980    0.002    0.000    0.057    0.000 context.py:374(resolve_value_type)
        1    0.000    0.000    0.056    0.056 arraymath.py:1(<module>)
        1    0.000    0.000    0.055    0.055 stencil.py:1(<module>)
     6764    0.003    0.000    0.055    0.000 inspect.py:848(getdoc)
    38141    0.017    0.000    0.055    0.000 _utils.py:16(register)
        1    0.000    0.000    0.054    0.054 text.py:1(<module>)
4960/4760    0.004    0.000    0.054    0.000 abstract.py:61(__call__)
     1572    0.002    0.000    0.053    0.000 lowering.py:1511(delvar)
       22    0.000    0.000    0.053    0.002 arrayobj.py:521(setitem_array)
        1    0.000    0.000    0.052    0.052 arraymath.py:33(_check_blas)
        1    0.000    0.000    0.052    0.052 linalg.py:55(ensure_blas)
       59    0.004    0.000    0.052    0.001 byteflow.py:80(run)
        2    0.000    0.000    0.051    0.026 arrayobj.py:4266(codegen)
        1    0.000    0.000    0.051    0.051 rcsetup.py:1(<module>)
     4191    0.002    0.000    0.051    0.000 errors.py:224(__init__)
       60    0.000    0.000    0.051    0.001 codegen.py:1400(_add_module)
       60    0.000    0.000    0.051    0.001 codegen.py:1094(add_module)
      361    0.002    0.000    0.050    0.000 module.py:11(parse_assembly)
  778/777    0.001    0.000    0.050    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
     4191    0.003    0.000    0.049    0.000 initialise.py:37(init)
     1994    0.003    0.000    0.049    0.000 typeof.py:27(typeof)
       60    0.000    0.000    0.049    0.001 codegen.py:1087(_load_defined_symbols)
      531    0.001    0.000    0.049    0.000 postproc.py:52(deadmaps)
   121986    0.034    0.000    0.048    0.000 targetconfig.py:111(getter)
4015/3597    0.002    0.000    0.048    0.000 ir_utils.py:1520(guard)
       41    0.001    0.000    0.048    0.001 callconv.py:122(raise_error)
        8    0.000    0.000    0.048    0.006 callwrapper.py:101(build)
        8    0.000    0.000    0.047    0.006 callwrapper.py:126(build_wrapper)
90060/89530    0.018    0.000    0.047    0.000 {method 'join' of 'str' objects}
     1726    0.002    0.000    0.047    0.000 lowering.py:1567(decref)
      120    0.001    0.000    0.047    0.000 codegen.py:1091(<setcomp>)
       59    0.002    0.000    0.046    0.001 inline_closurecall.py:80(run)
     8382    0.005    0.000    0.046    0.000 initialise.py:111(wrap_stream)
      795    0.000    0.000    0.045    0.000 templates.py:481(apply)
5400/3195    0.006    0.000    0.045    0.000 context.py:428(install_registry)
     4487    0.003    0.000    0.045    0.000 value.py:143(name)
     1779    0.001    0.000    0.045    0.000 context.py:384(decref)
      803    0.001    0.000    0.045    0.000 templates.py:272(_select)
        2    0.000    0.000    0.045    0.022 collections.py:1(<module>)
      928    0.001    0.000    0.045    0.000 passmanagers.py:742(run)
      186    0.000    0.000    0.045    0.000 arrayobj.py:76(_make_refs)
      803    0.008    0.000    0.044    0.000 context.py:592(resolve_overload)
     1115    0.003    0.000    0.043    0.000 module.py:45(add_metadata)
       60    0.000    0.000    0.043    0.001 codegen.py:1303(_scan_and_fix_unresolved_refs)
      691    0.043    0.000    0.043    0.000 {built-in method io.open_code}
      691    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      620    0.002    0.000    0.042    0.000 instructions.py:209(set_weights)
     9217    0.004    0.000    0.042    0.000 __init__.py:272(_compile)
     4234    0.003    0.000    0.041    0.000 module.py:251(_next)
      691    0.041    0.000    0.041    0.000 {built-in method marshal.loads}
        3    0.000    0.000    0.041    0.014 registry.py:1(<module>)
      297    0.000    0.000    0.041    0.000 ir.py:1527(infer_constant)
  474/297    0.000    0.000    0.040    0.000 consts.py:24(infer_constant)
  600/355    0.001    0.000    0.040    0.000 context.py:415(_load_builtins)
      797    0.003    0.000    0.040    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.000    0.000    0.040    0.040 dispatcher.py:1(<module>)
    82/81    0.000    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1231(create_module)
     8382    0.013    0.000    0.040    0.000 ansitowin32.py:81(__init__)
    82/81    0.039    0.000    0.040    0.000 {built-in method _imp.create_dynamic}
      213    0.000    0.000    0.039    0.000 artist.py:1426(__init__)
     1172    0.011    0.000    0.039    0.000 numpy_support.py:357(ufunc_find_matching_loop)
      177    0.000    0.000    0.039    0.000 postproc.py:158(_insert_var_dels)
       29    0.000    0.000    0.039    0.001 lowering.py:811(lower_getitem)
  432/268    0.000    0.000    0.039    0.000 consts.py:56(_do_infer)
      177    0.011    0.000    0.039    0.000 postproc.py:179(_patch_var_dels)
      213    0.006    0.000    0.039    0.000 artist.py:1446(get_aliases)
      160    0.001    0.000    0.039    0.000 callconv.py:871(call_function)
     3836    0.003    0.000    0.038    0.000 value.py:206(is_declaration)
       59    0.000    0.000    0.038    0.001 typed_passes.py:555(run_pass)
       59    0.000    0.000    0.038    0.001 ir_utils.py:2215(check_and_legalize_ir)
149868/146800    0.014    0.000    0.038    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.038    0.038 patches.py:1(<module>)
        5    0.000    0.000    0.038    0.008 arrayobj.py:4232(codegen)
       59    0.000    0.000    0.038    0.001 interpreter.py:1412(post_process)
        1    0.000    0.000    0.037    0.037 _axes.py:1(<module>)
       59    0.000    0.000    0.037    0.001 ssa.py:26(reconstruct_ssa)
       59    0.000    0.000    0.037    0.001 ssa.py:47(_run_ssa)
      319    0.000    0.000    0.037    0.000 errors.py:670(__init__)
       59    0.000    0.000    0.037    0.001 lowering.py:29(__init__)
        1    0.000    0.000    0.037    0.037 compiler.py:1(<module>)
     6494    0.006    0.000    0.037    0.000 builder.py:967(extract_value)
     1179    0.003    0.000    0.037    0.000 cgutils.py:362(alloca_once)
    72020    0.027    0.000    0.037    0.000 pprint.py:102(_safe_tuple)
     1671    0.001    0.000    0.037    0.000 inspect.py:3278(signature)
       41    0.000    0.000    0.036    0.001 callconv.py:521(unpack_exception)
     1671    0.001    0.000    0.036    0.000 inspect.py:3024(from_callable)
      261    0.001    0.000    0.036    0.000 _compiler.py:738(compile)
     2239    0.001    0.000    0.035    0.000 base.py:42(find)
