LebwohlLasher2.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.263, Time: 1.445298 s
         1435845 function calls (1421032 primitive calls) in 2.021 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  721/657    0.002    0.000    0.013    0.000 inspect.py:2428(_signature_from_callable)
       12    0.000    0.000    0.012    0.001 _docstring.py:51(__missing__)
  407/197    0.001    0.000    0.012    0.000 _parser.py:449(_parse_sub)
  443/200    0.005    0.000    0.012    0.000 _parser.py:509(_parse)
        1    0.000    0.000    0.012    0.012 art3d.py:1(<module>)
      213    0.007    0.000    0.012    0.000 artist.py:1457(<listcomp>)
        2    0.000    0.000    0.011    0.006 ElementTree.py:1(<module>)
        1    0.000    0.000    0.011    0.011 helpers.py:1(<module>)
        1    0.000    0.000    0.011    0.011 axis.py:1(<module>)
      427    0.010    0.000    0.010    0.000 {built-in method builtins.dir}
     9273    0.010    0.000    0.010    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.010    0.010 _axes.py:46(Axes)
        1    0.000    0.000    0.010    0.010 index_tricks.py:1(<module>)
        1    0.000    0.000    0.010    0.010 geo.py:1(<module>)
        1    0.000    0.000    0.009    0.009 offsetbox.py:1(<module>)
      637    0.003    0.000    0.009    0.000 inspect.py:2333(_signature_from_function)
      100    0.000    0.000    0.009    0.000 deprecation.py:416(make_keyword_only)
       50    0.000    0.000    0.008    0.000 __init__.py:225(compile)
        1    0.000    0.000    0.008    0.008 __init__.py:208(_check_versions)
      969    0.001    0.000    0.008    0.000 __init__.py:699(__setitem__)
     6759    0.007    0.000    0.008    0.000 enum.py:686(__call__)
        1    0.000    0.000    0.008    0.008 lines.py:1(<module>)
       51    0.004    0.000    0.008    0.000 LebwohlLasher2.py:182(get_order)
        1    0.000    0.000    0.008    0.008 numeric.py:1(<module>)
        1    0.000    0.000    0.007    0.007 image.py:1(<module>)
      197    0.000    0.000    0.007    0.000 _compiler.py:571(_code)
        1    0.000    0.000    0.007    0.007 polar.py:1(<module>)
        1    0.000    0.000    0.007    0.007 scale.py:1(<module>)
        1    0.000    0.000    0.007    0.007 <__array_function__ internals>:177(inv)
        1    0.007    0.007    0.007    0.007 linalg.py:469(inv)
      429    0.000    0.000    0.006    0.000 artist.py:1540(number_of_parameters)
        1    0.000    0.000    0.006    0.006 ticker.py:1(<module>)
        1    0.000    0.000    0.006    0.006 widgets.py:1(<module>)
        1    0.000    0.000    0.006    0.006 defmatrix.py:1(<module>)
       92    0.000    0.000    0.006    0.000 __init__.py:1372(_preprocess_data)
        2    0.000    0.000    0.006    0.003 common.py:1(<module>)
