#=====================================================
# File created:        Mon-11-Mar-2024-at-07-57-38AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.647082
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2546.3907  0.2676 
   00001    0.6768   -3725.2946  0.2666 
   00002    0.6124   -4406.4729  0.2708 
   00003    0.5864   -4977.6302  0.2817 
   00004    0.5756   -5391.2174  0.2832 
   00005    0.5364   -5824.9088  0.2843 
   00006    0.4980   -6090.6196  0.2794 
   00007    0.5088   -6338.2342  0.2806 
   00008    0.5008   -6524.4372  0.2957 
   00009    0.4872   -6718.4262  0.2931 
   00010    0.4884   -6839.9252  0.2867 
   00011    0.4804   -6986.6765  0.2862 
   00012    0.4808   -7115.1882  0.2856 
   00013    0.4748   -7205.6934  0.2859 
   00014    0.4668   -7305.4976  0.2887 
   00015    0.4524   -7394.4621  0.2865 
   00016    0.4560   -7437.9327  0.2919 
   00017    0.4544   -7453.3733  0.2886 
   00018    0.4636   -7513.9387  0.2935 
   00019    0.4564   -7530.8358  0.2954 
   00020    0.4696   -7590.4652  0.2981 
   00021    0.4656   -7599.4804  0.3005 
   00022    0.4412   -7654.4437  0.2983 
   00023    0.4592   -7676.4840  0.3016 
   00024    0.4392   -7687.1871  0.3061 
   00025    0.4216   -7780.0233  0.3061 
   00026    0.4408   -7851.7428  0.2993 
   00027    0.4356   -7856.0237  0.2969 
   00028    0.4452   -7857.2829  0.2971 
   00029    0.4264   -7913.3860  0.2947 
   00030    0.4464   -7908.6537  0.2881 
   00031    0.4364   -7942.5437  0.2893 
   00032    0.4400   -7940.5345  0.2898 
   00033    0.4484   -7943.3367  0.2915 
   00034    0.4332   -7889.6034  0.2989 
   00035    0.4420   -7920.0782  0.3006 
   00036    0.4316   -7933.5368  0.3045 
   00037    0.4220   -7929.2464  0.3077 
   00038    0.4248   -7933.0761  0.3149 
   00039    0.4408   -7939.0245  0.3153 
   00040    0.4280   -7978.2500  0.3128 
   00041    0.4324   -8004.4108  0.3164 
   00042    0.4252   -7982.8346  0.3161 
   00043    0.4276   -7982.7728  0.3237 
   00044    0.4244   -8043.2850  0.3255 
   00045    0.4280   -8071.5810  0.3250 
   00046    0.4092   -8138.0377  0.3232 
   00047    0.4264   -8113.4443  0.3257 
   00048    0.4324   -8139.6815  0.3268 
   00049    0.4344   -8131.6400  0.3219 
   00050    0.4152   -8119.2514  0.3274 
