#=====================================================
# File created:        Mon-11-Mar-2024-at-08-23-06AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.760685
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2466.3818  0.2646 
   00001    0.6876   -3713.6802  0.2774 
   00002    0.6228   -4555.4682  0.2779 
   00003    0.5708   -5123.5098  0.2873 
   00004    0.5668   -5571.6123  0.2788 
   00005    0.5448   -5917.1327  0.2843 
   00006    0.5164   -6116.3186  0.2873 
   00007    0.5072   -6345.1467  0.2942 
   00008    0.5028   -6464.5616  0.2931 
   00009    0.4756   -6687.9834  0.2992 
   00010    0.4944   -6865.6853  0.2975 
   00011    0.4644   -7015.0811  0.2926 
   00012    0.4624   -7065.7646  0.2967 
   00013    0.4576   -7164.1317  0.3010 
   00014    0.4740   -7243.5124  0.2980 
   00015    0.4704   -7330.6563  0.2989 
   00016    0.4656   -7386.2065  0.3059 
   00017    0.4552   -7425.0614  0.3094 
   00018    0.4568   -7497.8113  0.3097 
   00019    0.4408   -7536.7668  0.3130 
   00020    0.4364   -7585.1277  0.3073 
   00021    0.4384   -7640.1288  0.3126 
   00022    0.4568   -7634.2106  0.3117 
   00023    0.4524   -7684.6389  0.3170 
   00024    0.4436   -7705.8338  0.3150 
   00025    0.4456   -7720.5705  0.3172 
   00026    0.4492   -7729.5658  0.3170 
   00027    0.4536   -7788.0981  0.3204 
   00028    0.4368   -7814.9806  0.3265 
   00029    0.4320   -7836.7893  0.3184 
   00030    0.4176   -7849.4414  0.3143 
   00031    0.4420   -7866.8982  0.3081 
   00032    0.4284   -7954.9122  0.3107 
   00033    0.4164   -7934.3504  0.3155 
   00034    0.4360   -7935.3852  0.3192 
   00035    0.4376   -7923.9487  0.3206 
   00036    0.4248   -7933.4326  0.3216 
   00037    0.4332   -7902.2976  0.3180 
   00038    0.4300   -7890.0176  0.3242 
   00039    0.4388   -7908.6914  0.3282 
   00040    0.4196   -7948.3517  0.3362 
   00041    0.4416   -7964.5454  0.3355 
   00042    0.4392   -7992.1466  0.3377 
   00043    0.4192   -8028.7450  0.3351 
   00044    0.4352   -8052.2341  0.3300 
   00045    0.4084   -8031.7561  0.3340 
   00046    0.4440   -8050.8181  0.3268 
   00047    0.4236   -8103.1460  0.3264 
   00048    0.4296   -8087.8861  0.3229 
   00049    0.4160   -8094.5744  0.3247 
   00050    0.4376   -8108.7052  0.3187 
