LebwohlLasher7.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.327, Time: 0.067710 s
         1002448 function calls (986175 primitive calls) in 0.571 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.010    0.010 geo.py:1(<module>)
        1    0.000    0.000    0.009    0.009 offsetbox.py:1(<module>)
        1    0.000    0.000    0.009    0.009 widgets.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _pickle.py:1(<module>)
       50    0.000    0.000    0.009    0.000 deprecation.py:457(<listcomp>)
      606    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      275    0.000    0.000    0.008    0.000 inspect.py:2755(replace)
      653    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       57    0.000    0.000    0.008    0.000 __init__.py:225(compile)
        1    0.000    0.000    0.008    0.008 widgets.py:606(RangeSlider)
      969    0.001    0.000    0.008    0.000 __init__.py:699(__setitem__)
        1    0.000    0.000    0.007    0.007 polar.py:1(<module>)
      429    0.000    0.000    0.007    0.000 artist.py:1540(number_of_parameters)
        1    0.000    0.000    0.007    0.007 lines.py:1(<module>)
      203    0.000    0.000    0.007    0.000 _compiler.py:571(_code)
    69388    0.007    0.000    0.007    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.007    0.007 image.py:1(<module>)
        1    0.000    0.000    0.007    0.007 index_tricks.py:1(<module>)
       92    0.000    0.000    0.006    0.000 __init__.py:1372(_preprocess_data)
    88383    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
139783/138741    0.006    0.000    0.006    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.006    0.006 category.py:1(<module>)
      929    0.000    0.000    0.006    0.000 artist.py:1546(is_alias)
        1    0.000    0.000    0.006    0.006 py3k.py:1(<module>)
      100    0.001    0.000    0.006    0.000 artist.py:170(<listcomp>)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
     1163    0.004    0.000    0.005    0.000 functools.py:35(update_wrapper)
 1016/203    0.002    0.000    0.005    0.000 _compiler.py:37(_compile)
     4050    0.003    0.000    0.005    0.000 artist.py:1559(aliased_name)
    58662    0.004    0.000    0.005    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.005    0.005 axis3d.py:1(<module>)
      915    0.003    0.000    0.005    0.000 inspect.py:2972(__init__)
    51841    0.005    0.000    0.005    0.000 {built-in method builtins.min}
16572/16559    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
      464    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        2    0.000    0.000    0.005    0.002 common.py:1(<module>)
        1    0.000    0.000    0.005    0.005 textpath.py:1(<module>)
        1    0.000    0.000    0.005    0.005 quiver.py:1(<module>)
    73441    0.005    0.000    0.005    0.000 {method 'lstrip' of 'str' objects}
        3    0.000    0.000    0.004    0.001 version.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _parser.py:1(<module>)
        1    0.000    0.000    0.004    0.004 scale.py:1(<module>)
2814/2402    0.002    0.000    0.004    0.000 {built-in method __new__ of type object at 0x1006515f0}
        1    0.000    0.000    0.004    0.004 cm.py:1(<module>)
        1    0.000    0.000    0.004    0.004 numerictypes.py:1(<module>)
        1    0.000    0.000    0.004    0.004 secrets.py:1(<module>)
        2    0.000    0.000    0.004    0.002 shape_base.py:1(<module>)
     3873    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.004    0.004 common.py:8(pyparsing_common)
        1    0.000    0.000    0.004    0.004 ExifTags.py:1(<module>)
       30    0.000    0.000    0.004    0.000 enum.py:497(__new__)
       47    0.000    0.000    0.004    0.000 __init__.py:1328(_add_data_doc)
       18    0.000    0.000    0.004    0.000 rcsetup.py:721(validate_cycler)
        1    0.000    0.000    0.004    0.004 font_manager.py:1(<module>)
      780    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
     8354    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
        1    0.000    0.000    0.003    0.003 helpers.py:1(<module>)
        1    0.000    0.000    0.003    0.003 ticker.py:1(<module>)
        2    0.000    0.000    0.003    0.002 ElementTree.py:1(<module>)
        1    0.000    0.000    0.003    0.003 defmatrix.py:1(<module>)
      314    0.000    0.000    0.003    0.000 overrides.py:170(decorator)
        1    0.000    0.000    0.003    0.003 artist.py:1(<module>)
        1    0.000    0.000    0.003    0.003 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.003    0.003 iterative.py:1(<module>)
      491    0.000    0.000    0.003    0.000 {built-in method builtins.next}
       33    0.003    0.000    0.003    0.000 {built-in method io.open}
        2    0.000    0.000    0.003    0.001 _matfuncs.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _misc.py:1(<module>)
       60    0.000    0.000    0.003    0.000 __init__.py:817(_open_file_or_url)
        1    0.000    0.000    0.003    0.003 cm.py:33(_gen_cmap_registry)
       33    0.000    0.000    0.003    0.000 contextlib.py:132(__enter__)
        1    0.000    0.000    0.003    0.003 legend.py:1(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:208(_check_versions)
        3    0.000    0.000    0.003    0.001 patches.py:2184(__init_subclass__)
        6    0.000    0.000    0.003    0.000 patches.py:2226(pprint_styles)
        1    0.000    0.000    0.003    0.003 table.py:1(<module>)
        1    0.000    0.000    0.003    0.003 fromnumeric.py:1(<module>)
       50    0.001    0.000    0.003    0.000 {built-in method builtins.eval}
      850    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:392(cached)
     6804    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
        6    0.000    0.000    0.003    0.000 patches.py:2230(<listcomp>)
        8    0.000    0.000    0.003    0.000 __init__.py:108(import_module)
        8    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1192(_gcd_import)
      409    0.000    0.000    0.002    0.000 rcsetup.py:307(validate_color)
       11    0.000    0.000    0.002    0.000 core.py:1076(parse_string)
      412    0.002    0.000    0.002    0.000 enum.py:242(__set_name__)
        1    0.001    0.001    0.002    0.002 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _secondary_axes.py:1(<module>)
      460    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
       46    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
        9    0.000    0.000    0.002    0.000 core.py:5392(__init__)
       12    0.000    0.000    0.002    0.000 __init__.py:232(define_aliases)
        1    0.000    0.000    0.002    0.002 linalg.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _basic.py:1(<module>)
        1    0.000    0.000    0.002    0.002 hmac.py:1(<module>)
     29/8    0.000    0.000    0.002    0.000 core.py:4379(leave_whitespace)
      412    0.000    0.000    0.002    0.000 colors.py:218(is_color_like)
      111    0.000    0.000    0.002    0.000 rcsetup.py:88(f)
      406    0.000    0.000    0.002    0.000 deprecation.py:9(wrap)
      409    0.000    0.000    0.002    0.000 core.py:499(copy)
  196/183    0.000    0.000    0.002    0.000 typing.py:352(inner)
      203    0.001    0.000    0.002    0.000 _compiler.py:509(_compile_info)
        1    0.000    0.000    0.002    0.002 exceptions.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _internal.py:1(<module>)
       12    0.000    0.000    0.002    0.000 rcsetup.py:401(validate_font_properties)
       46    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
        9    0.000    0.000    0.002    0.000 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
      325    0.000    0.000    0.002    0.000 function_base.py:483(add_newdoc)
      488    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
     3873    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
  780/550    0.000    0.000    0.002    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.002    0.002 _csr.py:1(<module>)
        2    0.000    0.000    0.002    0.001 _add_newdocs.py:1(<module>)
       32    0.001    0.000    0.002    0.000 __init__.py:350(namedtuple)
      390    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
        1    0.000    0.000    0.002    0.002 subprocess.py:1(<module>)
        1    0.000    0.000    0.002    0.002 mathtext.py:1(<module>)
     7052    0.001    0.000    0.002    0.000 _parser.py:164(__getitem__)
       82    0.000    0.000    0.002    0.000 __init__.py:253(make_alias)
      832    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
   273/11    0.000    0.000    0.002    0.000 core.py:776(_parseNoCache)
    10900    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     4889    0.001    0.000    0.002    0.000 _parser.py:254(get)
      409    0.001    0.000    0.002    0.000 copy.py:66(copy)
    63/11    0.000    0.000    0.002    0.000 core.py:3861(parseImpl)
        1    0.000    0.000    0.002    0.002 transforms.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _methods.py:1(<module>)
      284    0.000    0.000    0.002    0.000 overrides.py:88(verify_matching_signatures)
        1    0.000    0.000    0.002    0.002 font_manager.py:1533(_load_fontmanager)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
      501    0.001    0.000    0.002    0.000 enum.py:365(__setitem__)
       32    0.000    0.000    0.002    0.000 colors.py:1027(from_list)
   114/57    0.000    0.000    0.002    0.000 core.py:3722(copy)
      241    0.000    0.000    0.002    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
        5    0.000    0.000    0.002    0.000 _version.py:1(<module>)
       35    0.000    0.000    0.002    0.000 rcsetup.py:107(<listcomp>)
        1    0.000    0.000    0.002    0.002 font_manager.py:965(json_load)
    31528    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:274(load)
     2654    0.001    0.000    0.002    0.000 __init__.py:416(_strip_comment)
        1    0.000    0.000    0.002    0.002 lapack.py:1(<module>)
      101    0.000    0.000    0.002    0.000 deprecation.py:128(deprecate)
       28    0.001    0.000    0.002    0.000 util.py:182(_collapse_string_to_ranges)
        1    0.000    0.000    0.002    0.002 spines.py:1(<module>)
        8    0.000    0.000    0.002    0.000 core.py:2678(__init__)
 1206/397    0.001    0.000    0.002    0.000 _parser.py:174(getwidth)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
      438    0.000    0.000    0.002    0.000 colors.py:265(to_rgba)
        1    0.000    0.000    0.002    0.002 dates.py:1(<module>)
        1    0.000    0.000    0.002    0.002 tz.py:1(<module>)
       14    0.000    0.000    0.002    0.000 core.py:595(set_parse_action)
        1    0.000    0.000    0.002    0.002 version.py:157(Version)
      972    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      720    0.001    0.000    0.001    0.000 inspect.py:735(unwrap)
       14    0.000    0.000    0.001    0.000 core.py:675(<listcomp>)
       18    0.000    0.000    0.001    0.000 core.py:262(_trim_arity)
     7149    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.001    0.001 traceback.py:220(extract_stack)
        1    0.000    0.000    0.001    0.001 traceback.py:375(extract)
       18    0.000    0.000    0.001    0.000 rcsetup.py:629(cycler)
   114/57    0.000    0.000    0.001    0.000 core.py:3724(<listcomp>)
     1324    0.000    0.000    0.001    0.000 __init__.py:163(match)
        1    0.000    0.000    0.001    0.001 traceback.py:397(_extract_from_extended_frame_gen)
        1    0.000    0.000    0.001    0.001 backend_tools.py:1(<module>)
       36    0.000    0.000    0.001    0.000 traceback.py:316(line)
      344    0.000    0.000    0.001    0.000 inspect.py:786(_finddoc)
     55/8    0.000    0.000    0.001    0.000 core.py:3635(leave_whitespace)
        2    0.000    0.000    0.001    0.001 linecache.py:26(getline)
        2    0.000    0.000    0.001    0.001 linecache.py:36(getlines)
      484    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        1    0.000    0.000    0.001    0.001 linecache.py:80(updatecache)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:1(<module>)
        1    0.000    0.000    0.001    0.001 axes3d.py:42(Axes3D)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
      618    0.000    0.000    0.001    0.000 _inspect.py:96(getargspec)
      460    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
     1185    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
        2    0.000    0.000    0.001    0.001 __init__.py:299(loads)
        2    0.000    0.000    0.001    0.001 decoder.py:332(decode)
    30123    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
        2    0.000    0.000    0.001    0.001 decoder.py:343(raw_decode)
        1    0.000    0.000    0.001    0.001 api.py:1(<module>)
      132    0.001    0.000    0.001    0.000 _compiler.py:241(_optimize_charset)
        2    0.000    0.000    0.001    0.001 polynomial.py:1(<module>)
     5866    0.001    0.000    0.001    0.000 _parser.py:233(__next)
     1185    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      780    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.001    0.001 units.py:1(<module>)
      100    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
     4223    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      171    0.000    0.000    0.001    0.000 inspect.py:3040(replace)
 1609/174    0.000    0.000    0.001    0.000 <frozen abc>:121(__subclasscheck__)
       63    0.000    0.000    0.001    0.000 colors.py:1080(reversed)
        1    0.000    0.000    0.001    0.001 scimath.py:1(<module>)
 1609/174    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
    52/39    0.000    0.000    0.001    0.000 typing.py:479(__getitem__)
  266/157    0.000    0.000    0.001    0.000 core.py:1857(name)
        1    0.000    0.000    0.001    0.001 _mathtext.py:1(<module>)
        2    0.000    0.000    0.001    0.000 core.py:5684(srange)
        2    0.000    0.000    0.001    0.000 function_base.py:1(<module>)
  215/110    0.000    0.000    0.001    0.000 core.py:1832(default_name)
       20    0.000    0.000    0.001    0.000 core.py:4779(parseImpl)
       91    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
     6842    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      409    0.000    0.000    0.001    0.000 copy.py:259(_reconstruct)
        1    0.000    0.000    0.001    0.001 layout_engine.py:1(<module>)
       63    0.000    0.000    0.001    0.000 colors.py:1099(<dictcomp>)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      972    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
       55    0.000    0.000    0.001    0.000 core.py:3643(<listcomp>)
      850    0.000    0.000    0.001    0.000 colors.py:213(_is_nth_color)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
       39    0.000    0.000    0.001    0.000 typing.py:658(Union)
      460    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 ExifTags.py:20(Base)
      169    0.000    0.000    0.001    0.000 colors.py:307(_to_rgba_no_colorcycle)
       90    0.000    0.000    0.001    0.000 typing.py:1353(__init__)
    11437    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      972    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
     6826    0.001    0.000    0.001    0.000 enum.py:1091(__new__)
      450    0.000    0.000    0.001    0.000 font_manager.py:923(_json_decode)
      188    0.001    0.000    0.001    0.000 colors.py:1101(<listcomp>)
     3140    0.001    0.000    0.001    0.000 inspect.py:3019(<genexpr>)
        1    0.000    0.000    0.001    0.001 _compressed.py:1(<module>)
       14    0.000    0.000    0.001    0.000 core.py:115(doc_note)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
     25/6    0.000    0.000    0.001    0.000 core.py:3816(streamline)
      644    0.001    0.000    0.001    0.000 inspect.py:167(get_annotations)
        1    0.000    0.000    0.001    0.001 _decomp.py:1(<module>)
        1    0.000    0.000    0.001    0.001 flinalg.py:1(<module>)
      160    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(column_stack)
     35/5    0.000    0.000    0.001    0.000 core.py:3675(streamline)
        1    0.000    0.000    0.001    0.001 rrule.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decimal.py:1(<module>)
      480    0.001    0.000    0.001    0.000 __init__.py:89(find_spec)
   256/18    0.000    0.000    0.001    0.000 ast.py:414(visit)
        1    0.000    0.000    0.001    0.001 _afm.py:1(<module>)
    33/15    0.000    0.000    0.001    0.000 core.py:4373(parseImpl)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
   256/18    0.000    0.000    0.001    0.000 ast.py:420(generic_visit)
        1    0.000    0.000    0.001    0.001 ElementTree.py:36(_get_py3_cls)
      396    0.000    0.000    0.001    0.000 __init__.py:178(sub)
        1    0.000    0.000    0.001    0.001 core.py:5798(<listcomp>)
      859    0.000    0.000    0.001    0.000 {built-in method builtins.max}
        2    0.000    0.000    0.001    0.000 dataclasses.py:1379(make_dataclass)
      488    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      614    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
     2459    0.001    0.000    0.001    0.000 _parser.py:172(append)
       62    0.000    0.000    0.001    0.000 core.py:1352(__add__)
      406    0.000    0.000    0.001    0.000 enum.py:1509(__and__)
     9281    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
       12    0.000    0.000    0.001    0.000 _docstring.py:57(<listcomp>)
        1    0.000    0.000    0.001    0.001 _ufunc_config.py:1(<module>)
    24/12    0.000    0.000    0.001    0.000 core.py:4108(parseImpl)
        1    0.000    0.000    0.001    0.001 helpers.py:648(make_html_tags)
        1    0.000    0.000    0.001    0.001 linsolve.py:1(<module>)
        1    0.000    0.000    0.001    0.001 helpers.py:590(_makeTags)
        2    0.000    0.000    0.001    0.000 dataclasses.py:1202(dataclass)
      390    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
      344    0.000    0.000    0.001    0.000 inspect.py:776(_findclass)
        2    0.000    0.000    0.001    0.000 dataclasses.py:1219(wrap)
        1    0.000    0.000    0.001    0.001 _threadsafety.py:1(<module>)
     4236    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     27/7    0.000    0.000    0.001    0.000 core.py:4409(streamline)
      194    0.000    0.000    0.001    0.000 _parser.py:94(closegroup)
        3    0.000    0.000    0.001    0.000 _common.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
        2    0.000    0.000    0.001    0.000 dataclasses.py:884(_process_class)
     78/4    0.000    0.000    0.001    0.000 core.py:909(_parseCache)
       32    0.000    0.000    0.001    0.000 colors.py:399(to_rgba_array)
       46    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
       10    0.000    0.000    0.001    0.000 core.py:2791(_generateDefaultName)
        1    0.000    0.000    0.001    0.001 _base.py:547(_AxesBase)
        1    0.000    0.000    0.001    0.001 blas.py:1(<module>)
       44    0.000    0.000    0.001    0.000 _base.py:67(__set_name__)
2286/2120    0.000    0.000    0.001    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
     1170    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1141    0.001    0.000    0.001    0.000 {built-in method builtins.id}
       15    0.000    0.000    0.001    0.000 core.py:2792(charsAsStr)
      390    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
        1    0.000    0.000    0.001    0.001 core.py:400(ParserElement)
      160    0.000    0.000    0.001    0.000 shape_base.py:612(column_stack)
        7    0.000    0.000    0.001    0.000 decorator.py:177(create)
     2714    0.000    0.000    0.001    0.000 util.py:185(is_consecutive)
    10763    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       63    0.000    0.000    0.001    0.000 core.py:3783(__init__)
     5735    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
 3344/795    0.001    0.000    0.001    0.000 __init__.py:362(recursive_subclasses)
        1    0.000    0.000    0.001    0.001 __init__.py:454(StrFormatStyle)
        1    0.000    0.000    0.001    0.001 _lil.py:1(<module>)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
        6    0.000    0.000    0.001    0.000 _threadsafety.py:52(decorator)
        1    0.000    0.000    0.001    0.001 dviread.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arpack.py:1(<module>)
       20    0.000    0.000    0.001    0.000 core.py:4956(parseImpl)
      553    0.000    0.000    0.001    0.000 _compiler.py:396(_simple)
        6    0.000    0.000    0.001    0.000 _threadsafety.py:41(decorate)
        6    0.000    0.000    0.001    0.000 decorator.py:200(decorate)
        1    0.000    0.000    0.001    0.001 gridspec.py:1(<module>)
     8509    0.001    0.000    0.001    0.000 inspect.py:2739(name)
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _decomp_lu.py:1(<module>)
