LebwohlLasher9.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.273, Time: 0.754862 s
         1054548 function calls (1039762 primitive calls) in 1.471 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.009    0.009 category.py:1(<module>)
     1398    0.009    0.000    0.009    0.000 {built-in method posix.stat}
     6759    0.007    0.000    0.008    0.000 enum.py:686(__call__)
      969    0.001    0.000    0.008    0.000 __init__.py:699(__setitem__)
    46/36    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
    46/36    0.002    0.000    0.008    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.008    0.008 polar.py:1(<module>)
       50    0.000    0.000    0.007    0.000 __init__.py:225(compile)
        1    0.000    0.000    0.007    0.007 lines.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _parser.py:1(<module>)
      197    0.000    0.000    0.007    0.000 _compiler.py:571(_code)
        1    0.000    0.000    0.007    0.007 image.py:1(<module>)
      429    0.000    0.000    0.007    0.000 artist.py:1540(number_of_parameters)
        1    0.000    0.000    0.007    0.007 index_tricks.py:1(<module>)
      440    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      476    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
    65115    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
       92    0.000    0.000    0.006    0.000 __init__.py:1372(_preprocess_data)
    87130    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.006    0.006 widgets.py:1(<module>)
139098/138082    0.006    0.000    0.006    0.000 {built-in method builtins.len}
      929    0.000    0.000    0.006    0.000 artist.py:1546(is_alias)
        1    0.000    0.000    0.006    0.006 PngImagePlugin.py:1(<module>)
      100    0.001    0.000    0.006    0.000 artist.py:170(<listcomp>)
       50    0.000    0.000    0.006    0.000 deprecation.py:457(<listcomp>)
      275    0.000    0.000    0.005    0.000 inspect.py:2755(replace)
        1    0.000    0.000    0.005    0.005 numeric.py:1(<module>)
  990/197    0.002    0.000    0.005    0.000 _compiler.py:37(_compile)
     4050    0.002    0.000    0.005    0.000 artist.py:1559(aliased_name)
        1    0.000    0.000    0.005    0.005 axis3d.py:1(<module>)
        1    0.000    0.000    0.005    0.005 py3k.py:1(<module>)
        1    0.000    0.000    0.005    0.005 widgets.py:606(RangeSlider)
        2    0.000    0.000    0.005    0.002 common.py:1(<module>)
        1    0.000    0.000    0.005    0.005 textpath.py:1(<module>)
    55689    0.004    0.000    0.005    0.000 {built-in method builtins.isinstance}
    51779    0.005    0.000    0.005    0.000 {built-in method builtins.min}
      908    0.003    0.000    0.005    0.000 inspect.py:2972(__init__)
15308/15295    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.005    0.002 version.py:1(<module>)
    73441    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.004    0.004 quiver.py:1(<module>)
        1    0.000    0.000    0.004    0.004 cm.py:1(<module>)
        1    0.000    0.000    0.004    0.004 secrets.py:1(<module>)
        1    0.000    0.000    0.004    0.004 scale.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ExifTags.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ImagePalette.py:1(<module>)
2798/2388    0.001    0.000    0.004    0.000 {built-in method __new__ of type object at 0x10451d5f0}
  976/491    0.001    0.000    0.004    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.004    0.004 common.py:8(pyparsing_common)
       29    0.000    0.000    0.004    0.000 enum.py:497(__new__)
       18    0.000    0.000    0.004    0.000 rcsetup.py:721(validate_cycler)
       47    0.000    0.000    0.004    0.000 __init__.py:1328(_add_data_doc)
      314    0.001    0.000    0.004    0.000 overrides.py:170(decorator)
      331    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        1    0.000    0.000    0.003    0.003 font_manager.py:1(<module>)
        2    0.000    0.000    0.003    0.002 shape_base.py:1(<module>)
        1    0.000    0.000    0.003    0.003 defmatrix.py:1(<module>)
     8341    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.003    0.003 helpers.py:1(<module>)
        1    0.000    0.000    0.003    0.003 artist.py:1(<module>)
       33    0.003    0.000    0.003    0.000 {built-in method io.open}
        2    0.000    0.000    0.003    0.002 ElementTree.py:1(<module>)
      484    0.000    0.000    0.003    0.000 {built-in method builtins.next}
     3114    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.003    0.003 __init__.py:208(_check_versions)
       60    0.000    0.000    0.003    0.000 __init__.py:817(_open_file_or_url)
        1    0.000    0.000    0.003    0.003 cm.py:33(_gen_cmap_registry)
       33    0.000    0.000    0.003    0.000 contextlib.py:132(__enter__)
        1    0.000    0.000    0.003    0.003 ticker.py:1(<module>)
        3    0.000    0.000    0.003    0.001 patches.py:2184(__init_subclass__)
        6    0.000    0.000    0.003    0.000 patches.py:2226(pprint_styles)
        1    0.000    0.000    0.003    0.003 table.py:1(<module>)
        1    0.000    0.000    0.003    0.003 legend.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _internal.py:1(<module>)
        6    0.000    0.000    0.003    0.000 patches.py:2230(<listcomp>)
     6804    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
      562    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      409    0.000    0.000    0.002    0.000 rcsetup.py:307(validate_color)
        6    0.000    0.000    0.002    0.000 __init__.py:108(import_module)
        6    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1192(_gcd_import)
       47    0.001    0.000    0.002    0.000 {built-in method builtins.eval}
       11    0.000    0.000    0.002    0.000 core.py:1076(parse_string)
        1    0.000    0.000    0.002    0.002 fromnumeric.py:1(<module>)
      410    0.002    0.000    0.002    0.000 enum.py:242(__set_name__)
        1    0.000    0.000    0.002    0.002 _secondary_axes.py:1(<module>)
        1    0.000    0.000    0.002    0.002 subprocess.py:1(<module>)
      317    0.000    0.000    0.002    0.000 function_base.py:483(add_newdoc)
        1    0.000    0.000    0.002    0.002 relativedelta.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.002    0.002 linalg.py:1(<module>)
        9    0.000    0.000    0.002    0.000 core.py:5392(__init__)
      754    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
     29/8    0.000    0.000    0.002    0.000 core.py:4379(leave_whitespace)
      412    0.000    0.000    0.002    0.000 colors.py:218(is_color_like)
        1    0.000    0.000    0.002    0.002 hmac.py:1(<module>)
      111    0.000    0.000    0.002    0.000 rcsetup.py:88(f)
      409    0.000    0.000    0.002    0.000 core.py:499(copy)
       12    0.000    0.000    0.002    0.000 rcsetup.py:401(validate_font_properties)
        9    0.000    0.000    0.002    0.000 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
        1    0.000    0.000    0.002    0.002 exceptions.py:1(<module>)
  194/181    0.000    0.000    0.002    0.000 typing.py:352(inner)
      197    0.001    0.000    0.002    0.000 _compiler.py:509(_compile_info)
      100    0.002    0.000    0.002    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
      608    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:392(cached)
        1    0.000    0.000    0.002    0.002 mathtext.py:1(<module>)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
   273/11    0.000    0.000    0.002    0.000 core.py:776(_parseNoCache)
        1    0.000    0.000    0.002    0.002 tz.py:1(<module>)
    10233    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
      284    0.000    0.000    0.002    0.000 overrides.py:88(verify_matching_signatures)
        1    0.000    0.000    0.002    0.002 transforms.py:1(<module>)
    63/11    0.000    0.000    0.002    0.000 core.py:3861(parseImpl)
     6823    0.001    0.000    0.002    0.000 _parser.py:164(__getitem__)
        5    0.000    0.000    0.002    0.000 _version.py:1(<module>)
      409    0.001    0.000    0.002    0.000 copy.py:66(copy)
       50    0.002    0.000    0.002    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
     4721    0.001    0.000    0.002    0.000 _parser.py:254(get)
       35    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
       32    0.000    0.000    0.002    0.000 colors.py:1027(from_list)
      327    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
      496    0.001    0.000    0.002    0.000 enum.py:365(__setitem__)
      241    0.000    0.000    0.002    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
