#=====================================================
# File created:        Mon-11-Mar-2024-at-06-05-00AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.789872
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2464.6225  0.2684 
   00001    0.6912   -3603.8372  0.2611 
   00002    0.6360   -4368.4042  0.2673 
   00003    0.5988   -4912.9587  0.2719 
   00004    0.5832   -5419.1248  0.2858 
   00005    0.5660   -5770.3488  0.2771 
   00006    0.5076   -6005.6266  0.2814 
   00007    0.5400   -6263.6715  0.2883 
   00008    0.5104   -6427.7778  0.2955 
   00009    0.4968   -6612.0690  0.3008 
   00010    0.4916   -6816.6965  0.3009 
   00011    0.4832   -6942.6464  0.3021 
   00012    0.4656   -7065.2935  0.3054 
   00013    0.4660   -7185.5948  0.3003 
   00014    0.4572   -7317.1836  0.3025 
   00015    0.4372   -7389.3667  0.3045 
   00016    0.4520   -7408.9201  0.3127 
   00017    0.4380   -7458.9330  0.3182 
   00018    0.4584   -7497.4865  0.3212 
   00019    0.4420   -7530.9636  0.3165 
   00020    0.4556   -7692.8537  0.3220 
   00021    0.4460   -7736.2363  0.3249 
   00022    0.4228   -7724.7196  0.3250 
   00023    0.4488   -7741.4730  0.3342 
   00024    0.4224   -7788.3393  0.3337 
   00025    0.4440   -7781.4601  0.3343 
   00026    0.4296   -7775.4163  0.3330 
   00027    0.4552   -7789.5693  0.3293 
   00028    0.4456   -7822.1424  0.3333 
   00029    0.4436   -7830.3420  0.3364 
   00030    0.4372   -7835.5521  0.3391 
   00031    0.4388   -7898.7210  0.3441 
   00032    0.4196   -7950.1182  0.3511 
   00033    0.4684   -7915.4354  0.3485 
   00034    0.4272   -7930.1886  0.3513 
   00035    0.4368   -7936.9252  0.3591 
   00036    0.4416   -7899.3573  0.3646 
   00037    0.4232   -7911.1080  0.3722 
   00038    0.4496   -7990.1857  0.3756 
   00039    0.4252   -8007.8193  0.3839 
   00040    0.4292   -7999.1818  0.3833 
   00041    0.4320   -8024.5313  0.3798 
   00042    0.4312   -8004.2796  0.3821 
   00043    0.4320   -7973.4139  0.3845 
   00044    0.4336   -7992.5538  0.3852 
   00045    0.4220   -8064.1474  0.3791 
   00046    0.4444   -8102.5945  0.3836 
   00047    0.4288   -8073.0675  0.3845 
   00048    0.4344   -8073.0413  0.3897 
   00049    0.4148   -8067.5147  0.3901 
   00050    0.4224   -8054.6513  0.3927 
