#=====================================================
# File created:        Mon-11-Mar-2024-at-06-16-54AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        13.175856
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2561.4256  0.2720 
   00001    0.6640   -3779.8690  0.2800 
   00002    0.6016   -4594.6007  0.2758 
   00003    0.5820   -5213.8519  0.2838 
   00004    0.5608   -5607.4528  0.2913 
   00005    0.5276   -5869.6805  0.2835 
   00006    0.5256   -6154.7898  0.2870 
   00007    0.5048   -6320.5657  0.2887 
   00008    0.4808   -6553.3827  0.2857 
   00009    0.4892   -6734.1792  0.2895 
   00010    0.4828   -6855.9278  0.2941 
   00011    0.4752   -6997.4689  0.3037 
   00012    0.4620   -7073.8278  0.3064 
   00013    0.4688   -7226.1528  0.3151 
   00014    0.4720   -7295.3888  0.3079 
   00015    0.4540   -7377.7533  0.3111 
   00016    0.4728   -7400.3631  0.3091 
   00017    0.4552   -7473.2834  0.3159 
   00018    0.4584   -7551.9514  0.3144 
   00019    0.4324   -7580.3859  0.3173 
   00020    0.4468   -7605.1222  0.3200 
   00021    0.4404   -7649.2980  0.3249 
   00022    0.4364   -7728.8691  0.3345 
   00023    0.4308   -7789.7752  0.3395 
   00024    0.4412   -7818.2753  0.3433 
   00025    0.4420   -7856.1416  0.3447 
   00026    0.4348   -7897.9946  0.3527 
   00027    0.4420   -7947.0639  0.3514 
   00028    0.4416   -7953.1114  0.3385 
   00029    0.4340   -8005.2230  0.3475 
   00030    0.4228   -8037.5012  0.3557 
   00031    0.4372   -8057.1892  0.3600 
   00032    0.4304   -8049.7490  0.3654 
   00033    0.4280   -8003.5134  0.3740 
   00034    0.4280   -7993.5048  0.3782 
   00035    0.4184   -8033.7271  0.3782 
   00036    0.4180   -8026.7231  0.3885 
   00037    0.4176   -8011.2102  0.3923 
   00038    0.4268   -8026.0562  0.3905 
   00039    0.4440   -8078.8366  0.3921 
   00040    0.4364   -8094.0702  0.4011 
   00041    0.4092   -8073.6630  0.3991 
   00042    0.4272   -8137.9476  0.4050 
   00043    0.4084   -8073.2820  0.4008 
   00044    0.4272   -8111.9526  0.4024 
   00045    0.4404   -8147.3712  0.4104 
   00046    0.4212   -8152.5502  0.4142 
   00047    0.4304   -8161.9546  0.4131 
   00048    0.4324   -8124.6071  0.4154 
   00049    0.4432   -8112.3822  0.4214 
   00050    0.4260   -8136.2268  0.4185 
   00051    0.4352   -8185.7629  0.4194 
   00052    0.4212   -8184.4751  0.4183 
   00053    0.4276   -8191.0068  0.4207 
   00054    0.4204   -8164.3869  0.4155 
   00055    0.4304   -8213.3427  0.4104 
   00056    0.4232   -8189.5528  0.4157 
   00057    0.4292   -8270.7441  0.4241 
   00058    0.4176   -8250.5937  0.4255 
   00059    0.4200   -8205.0216  0.4279 
   00060    0.4276   -8199.6880  0.4329 
   00061    0.4116   -8187.3462  0.4415 
   00062    0.4332   -8189.5148  0.4368 
   00063    0.4272   -8188.8835  0.4352 
   00064    0.4260   -8154.8248  0.4383 
   00065    0.4272   -8135.8368  0.4399 
   00066    0.4176   -8165.0927  0.4425 
   00067    0.4180   -8240.6334  0.4479 
   00068    0.4304   -8186.6843  0.4428 
   00069    0.4188   -8236.8065  0.4545 
   00070    0.4136   -8196.6205  0.4545 
   00071    0.4204   -8203.7614  0.4564 
   00072    0.4260   -8209.9812  0.4535 
   00073    0.4004   -8224.6523  0.4581 
   00074    0.4380   -8208.0435  0.4715 
   00075    0.4268   -8174.4913  0.4714 
   00076    0.4228   -8209.2983  0.4691 
   00077    0.4092   -8222.6810  0.4761 
   00078    0.4260   -8252.8630  0.4805 
   00079    0.4188   -8254.6648  0.4829 
   00080    0.4100   -8253.4159  0.4791 
   00081    0.4156   -8237.6351  0.4706 
   00082    0.4140   -8237.5479  0.4693 
   00083    0.4208   -8205.1412  0.4718 
   00084    0.4152   -8171.6899  0.4697 
   00085    0.4348   -8249.2759  0.4686 
   00086    0.4180   -8233.0213  0.4620 
   00087    0.4012   -8210.6488  0.4588 
   00088    0.4272   -8218.9923  0.4571 
   00089    0.4352   -8204.5162  0.4609 
   00090    0.4004   -8206.5838  0.4640 
   00091    0.4132   -8237.1605  0.4630 
   00092    0.4160   -8211.8431  0.4664 
   00093    0.4164   -8250.6205  0.4649 
   00094    0.4140   -8259.9428  0.4679 
   00095    0.4256   -8247.9291  0.4740 
   00096    0.4316   -8207.9322  0.4713 
   00097    0.4352   -8240.7795  0.4720 
   00098    0.4144   -8234.2075  0.4762 
   00099    0.4200   -8241.6343  0.4708 
   00100    0.4196   -8251.6616  0.4731 
   00101    0.4144   -8229.0889  0.4721 
   00102    0.4160   -8249.7358  0.4654 
   00103    0.4432   -8220.4764  0.4601 
   00104    0.4216   -8210.4101  0.4570 
   00105    0.4228   -8198.3374  0.4500 
   00106    0.4268   -8189.2878  0.4549 
   00107    0.4180   -8204.6154  0.4578 
   00108    0.4196   -8218.1504  0.4617 
   00109    0.4388   -8247.0490  0.4645 
   00110    0.4292   -8247.4822  0.4701 
   00111    0.4352   -8256.7799  0.4743 
   00112    0.4004   -8281.8817  0.4819 
   00113    0.4148   -8292.5878  0.4809 
   00114    0.4236   -8275.6440  0.4858 
   00115    0.3940   -8195.8223  0.4881 
   00116    0.4164   -8194.9143  0.4843 
   00117    0.4284   -8245.6584  0.4787 
   00118    0.4044   -8241.9613  0.4858 
   00119    0.4304   -8262.3628  0.4921 
   00120    0.4136   -8251.7241  0.4898 
   00121    0.4196   -8232.5367  0.4918 
   00122    0.4144   -8245.1021  0.4905 
   00123    0.4180   -8253.8882  0.4946 
   00124    0.4068   -8225.4096  0.4942 
   00125    0.4224   -8217.1311  0.4937 
   00126    0.4312   -8229.6288  0.4943 
   00127    0.4304   -8263.1483  0.4973 
   00128    0.4332   -8280.7437  0.4983 
   00129    0.4188   -8273.5723  0.4998 
   00130    0.4500   -8257.7769  0.5056 
   00131    0.4156   -8289.7080  0.5062 
   00132    0.4176   -8255.8633  0.5038 
   00133    0.4108   -8270.2915  0.5003 
   00134    0.4144   -8278.6774  0.5043 
   00135    0.4252   -8260.4562  0.5062 
   00136    0.4272   -8293.5885  0.5125 
   00137    0.4184   -8310.8227  0.5122 
   00138    0.4112   -8373.9601  0.5170 
   00139    0.4052   -8374.2706  0.5193 
   00140    0.4252   -8360.3847  0.5199 
   00141    0.4220   -8341.0411  0.5144 
   00142    0.4164   -8346.1069  0.5128 
   00143    0.4052   -8347.5804  0.5090 
   00144    0.4192   -8334.7146  0.5095 
   00145    0.4156   -8370.1800  0.5107 
   00146    0.4156   -8265.1567  0.4999 
   00147    0.4036   -8288.5323  0.4940 
   00148    0.4276   -8303.8060  0.4952 
   00149    0.4232   -8295.7355  0.4951 
   00150    0.4184   -8304.7995  0.4878 
   00151    0.4124   -8271.0742  0.4822 
   00152    0.4316   -8329.0582  0.4856 
   00153    0.4212   -8321.4629  0.4964 
   00154    0.4132   -8312.7295  0.4943 
   00155    0.4268   -8348.0752  0.4910 
   00156    0.3992   -8359.0009  0.4863 
   00157    0.4168   -8319.3335  0.4905 
   00158    0.4132   -8299.7853  0.4911 
   00159    0.4232   -8271.3987  0.4868 
   00160    0.4192   -8289.1929  0.4952 
   00161    0.4044   -8267.9751  0.5004 
   00162    0.4080   -8282.7386  0.4981 
   00163    0.4040   -8318.9961  0.5033 
   00164    0.4240   -8309.7337  0.5045 
   00165    0.4272   -8308.4020  0.5019 
   00166    0.4072   -8327.2330  0.4987 
   00167    0.4172   -8319.5540  0.4978 
   00168    0.4216   -8325.1180  0.4935 
   00169    0.4236   -8343.3689  0.4960 
   00170    0.4236   -8366.1539  0.4947 
   00171    0.4072   -8346.2233  0.4961 
   00172    0.4132   -8388.7282  0.4931 
   00173    0.4068   -8384.0505  0.4946 
   00174    0.4068   -8361.5787  0.4874 
   00175    0.4180   -8342.0557  0.4877 
   00176    0.4296   -8343.6129  0.4865 
   00177    0.4148   -8382.5262  0.4878 
   00178    0.4292   -8386.3673  0.4873 
   00179    0.4020   -8420.2531  0.4869 
   00180    0.4124   -8425.2847  0.4880 
   00181    0.4052   -8410.2857  0.4909 
   00182    0.4092   -8427.4822  0.4893 
   00183    0.3992   -8435.6449  0.4897 
   00184    0.4192   -8418.6476  0.4903 
   00185    0.4268   -8419.2046  0.4913 
   00186    0.4096   -8392.1283  0.4967 
   00187    0.3984   -8430.6267  0.4922 
   00188    0.4208   -8393.2029  0.4909 
   00189    0.4032   -8403.4336  0.4926 
   00190    0.4340   -8411.9462  0.4967 
   00191    0.4180   -8433.2316  0.5041 
   00192    0.4124   -8429.0664  0.5061 
   00193    0.4220   -8411.2037  0.5017 
   00194    0.3996   -8453.9355  0.5013 
   00195    0.4152   -8447.1573  0.4998 
   00196    0.4020   -8461.6918  0.5033 
   00197    0.4244   -8459.7273  0.5028 
   00198    0.4220   -8431.1097  0.5104 
   00199    0.4160   -8391.4161  0.5161 
   00200    0.4232   -8457.6916  0.5166 
   00201    0.4216   -8413.7571  0.5185 
   00202    0.4312   -8429.8176  0.5123 
   00203    0.4092   -8457.8228  0.5096 
   00204    0.4092   -8453.9667  0.5147 
   00205    0.4100   -8445.2110  0.5062 
   00206    0.4204   -8440.6153  0.5100 
   00207    0.4284   -8415.6463  0.5101 
   00208    0.4128   -8409.2963  0.5063 
   00209    0.4008   -8401.1340  0.4970 
   00210    0.4096   -8403.6250  0.4960 
   00211    0.4076   -8416.3680  0.5007 
   00212    0.4244   -8452.7844  0.4977 
   00213    0.4228   -8462.6395  0.4972 
   00214    0.4120   -8510.9104  0.4968 
   00215    0.4112   -8462.4018  0.4943 
   00216    0.4024   -8462.2768  0.4950 
   00217    0.4208   -8476.5828  0.4960 
   00218    0.4252   -8476.3361  0.5045 
