#=====================================================
# File created:        Mon-11-Mar-2024-at-05-42-39AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.662385
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2539.1361  0.2561 
   00001    0.6820   -3756.0200  0.2676 
   00002    0.6208   -4622.5505  0.2700 
   00003    0.5804   -5215.5537  0.2821 
   00004    0.5456   -5725.5083  0.2840 
   00005    0.5160   -5989.0072  0.3026 
   00006    0.5100   -6275.8102  0.2969 
   00007    0.5100   -6476.9975  0.2937 
   00008    0.4796   -6704.8338  0.3059 
   00009    0.4964   -6928.2110  0.3136 
   00010    0.4764   -7021.7927  0.3220 
   00011    0.4568   -7111.1232  0.3201 
   00012    0.4648   -7208.1319  0.3222 
   00013    0.4772   -7306.6344  0.3192 
   00014    0.4468   -7384.6007  0.3266 
   00015    0.4456   -7467.5181  0.3307 
   00016    0.4596   -7565.2258  0.3326 
   00017    0.4456   -7578.0651  0.3365 
   00018    0.4464   -7615.4694  0.3399 
   00019    0.4268   -7651.1061  0.3411 
   00020    0.4364   -7705.6684  0.3443 
   00021    0.4436   -7792.7948  0.3556 
   00022    0.4336   -7755.8063  0.3540 
   00023    0.4324   -7756.9783  0.3591 
   00024    0.4484   -7791.3196  0.3522 
   00025    0.4416   -7817.4128  0.3581 
   00026    0.4344   -7835.5125  0.3549 
   00027    0.4440   -7874.5870  0.3549 
   00028    0.4204   -7895.7017  0.3481 
   00029    0.4360   -7901.2773  0.3556 
   00030    0.4324   -7929.2466  0.3526 
   00031    0.4260   -7962.4858  0.3555 
   00032    0.4380   -7956.6834  0.3607 
   00033    0.4256   -7938.6490  0.3560 
   00034    0.4372   -8015.0740  0.3574 
   00035    0.4380   -8014.1789  0.3579 
   00036    0.4280   -8028.9593  0.3535 
   00037    0.4220   -8029.5594  0.3475 
   00038    0.4264   -8059.1694  0.3497 
   00039    0.4292   -8056.1406  0.3535 
   00040    0.4444   -8052.6476  0.3533 
   00041    0.4168   -8116.2232  0.3582 
   00042    0.4304   -8147.1892  0.3621 
   00043    0.4264   -8144.8590  0.3636 
   00044    0.4060   -8165.5817  0.3630 
   00045    0.4124   -8147.0103  0.3565 
   00046    0.4232   -8164.8572  0.3552 
   00047    0.4048   -8157.4910  0.3550 
   00048    0.4276   -8162.6865  0.3579 
   00049    0.4256   -8142.6465  0.3577 
   00050    0.4172   -8147.9144  0.3579 
