LebwohlLasher4.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.362, Time: 0.547680 s
         9254410 function calls (8756850 primitive calls) in 4.383 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1285    0.002    0.000    0.207    0.000 pprint.py:206(_pprint_dict)
      423    0.003    0.000    0.203    0.000 postproc.py:71(run)
       48    0.000    0.000    0.201    0.004 codegen.py:667(_optimize_final_module)
       96    0.000    0.000    0.200    0.002 passmanagers.py:665(run)
      423    0.003    0.000    0.200    0.000 cpu.py:60(load_additional_registries)
    59872    0.022    0.000    0.172    0.000 pprint.py:454(_repr)
     1285    0.069    0.000    0.169    0.000 pprint.py:377(_format_dict_items)
3175/1994    0.005    0.000    0.168    0.000 functools.py:981(__get__)
       47    0.000    0.000    0.158    0.003 untyped_passes.py:79(run_pass)
       47    0.002    0.000    0.158    0.003 interpreter.py:1352(interpret)
        1    0.000    0.000    0.151    0.151 arrayobj.py:2109(array_ravel)
  778/777    0.001    0.000    0.150    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
117120/59872    0.024    0.000    0.147    0.000 pprint.py:463(format)
  117/107    0.001    0.000    0.145    0.001 lowering.py:741(lower_binop)
    82/81    0.000    0.000    0.140    0.002 <frozen importlib._bootstrap_external>:1231(create_module)
    82/81    0.140    0.002    0.140    0.002 {built-in method _imp.create_dynamic}
195052/34199    0.103    0.000    0.139    0.000 ir.py:317(_rec_list_vars)
      253    0.000    0.000    0.138    0.001 module.py:233(__repr__)
      253    0.001    0.000    0.136    0.001 module.py:207(_get_body_lines)
      253    0.001    0.000    0.135    0.001 module.py:212(<listcomp>)
      100    0.000    0.000    0.134    0.001 artist.py:159(_update_set_signature_and_docstring)
117120/59872    0.051    0.000    0.133    0.000 pprint.py:551(_safe_repr)
       99    0.000    0.000    0.132    0.001 artist.py:126(__init_subclass__)
        1    0.000    0.000    0.130    0.130 figure.py:1(<module>)
      766    0.000    0.000    0.129    0.000 values.py:1010(__str__)
        2    0.000    0.000    0.129    0.064 arrayobj.py:2070(array_reshape_vararg)
        2    0.000    0.000    0.129    0.064 arrayobj.py:2005(array_reshape)
      766    0.000    0.000    0.128    0.000 values.py:1003(descr)
       31    0.000    0.000    0.128    0.004 lowering.py:301(create_cfunc_wrapper)
       31    0.001    0.000    0.128    0.004 cpu.py:193(create_cfunc_wrapper)
    28277    0.006    0.000    0.125    0.000 ir.py:350(list_vars)
128975/68825    0.032    0.000    0.123    0.000 {method 'format' of 'str' objects}
        3    0.000    0.000    0.123    0.041 array_exprs.py:354(_lower_array_expr)
    47788    0.026    0.000    0.120    0.000 event.py:209(broadcast)
64396/27233    0.017    0.000    0.115    0.000 _utils.py:44(__str__)
       90    0.000    0.000    0.114    0.001 values.py:996(descr_body)
     1648    0.001    0.000    0.113    0.000 values.py:1139(descr)
     1648    0.002    0.000    0.110    0.000 values.py:1141(<listcomp>)
22965/20203    0.037    0.000    0.109    0.000 {built-in method builtins.sorted}
      470    0.020    0.000    0.108    0.000 analysis.py:23(compute_use_defs)
      112    0.000    0.000    0.105    0.001 artist.py:1841(kwdoc)
        1    0.000    0.000    0.104    0.104 arrayobj.py:5841(codegen)
      691    0.103    0.000    0.103    0.000 {method 'read' of '_io.BufferedReader' objects}
      435    0.001    0.000    0.103    0.000 typeinfer.py:699(__call__)
      691    0.102    0.000    0.102    0.000 {built-in method io.open_code}
        3    0.000    0.000    0.101    0.034 decorators.py:1(<module>)
    19427    0.017    0.000    0.100    0.000 values.py:544(_to_string)
    20848    0.008    0.000    0.100    0.000 ffi.py:74(__exit__)
       94    0.004    0.000    0.098    0.001 registry.py:54(apply)
        1    0.000    0.000    0.098    0.098 colorbar.py:1(<module>)
    23894    0.013    0.000    0.097    0.000 event.py:404(end_event)
       83    0.000    0.000    0.096    0.001 codegen.py:732(add_llvm_module)
      423    0.000    0.000    0.096    0.000 postproc.py:42(usedefs)
   102446    0.038    0.000    0.091    0.000 event.py:243(notify)
    20845    0.005    0.000    0.091    0.000 base.py:1246(exit_fn)
      112    0.002    0.000    0.090    0.001 artist.py:1602(pprint_setters)
        1    0.000    0.000    0.090    0.090 stencil.py:1(<module>)
       83    0.002    0.000    0.089    0.001 codegen.py:651(_optimize_functions)
68838/65542    0.012    0.000    0.088    0.000 {built-in method builtins.next}
      797    0.003    0.000    0.088    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.000    0.000    0.088    0.088 arraymath.py:1(<module>)
  1269305    0.068    0.000    0.088    0.000 {built-in method builtins.isinstance}
        4    0.000    0.000    0.087    0.022 numbers.py:206(int_power_impl)
        1    0.000    0.000    0.084    0.084 arraymath.py:33(_check_blas)
        1    0.000    0.000    0.084    0.084 linalg.py:55(ensure_blas)
       13    0.000    0.000    0.083    0.006 npyimpl.py:335(numpy_ufunc_kernel)
        3    0.000    0.000    0.083    0.028 arrayobj.py:4007(make_array_nditer)
      793    0.000    0.000    0.082    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
        3    0.000    0.000    0.082    0.027 arrayobj.py:3372(init_specific)
  794/793    0.001    0.000    0.082    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
     2015    0.003    0.000    0.081    0.000 context.py:360(_call_incref_decref)
    20848    0.008    0.000    0.081    0.000 ffi.py:68(__enter__)
     1114    0.005    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
    23894    0.013    0.000    0.076    0.000 event.py:390(start_event)
        3    0.000    0.000    0.076    0.025 npyimpl.py:229(_build_array)
        1    0.000    0.000    0.075    0.075 randomimpl.py:365(_impl)
     4050    0.006    0.000    0.075    0.000 artist.py:1474(get_valid_values)
5526/2015    0.007    0.000    0.073    0.000 context.py:343(get_meminfos)
       47    0.000    0.000    0.073    0.002 typed_passes.py:224(run_pass)
    20845    0.005    0.000    0.071    0.000 base.py:1243(enter_fn)
       47    0.003    0.000    0.071    0.002 byteflow.py:80(run)
      135    0.000    0.000    0.069    0.001 codegen.py:719(add_linking_library)
        1    0.000    0.000    0.066    0.066 rcsetup.py:1(<module>)
        3    0.000    0.000    0.065    0.022 registry.py:1(<module>)
     1150    0.002    0.000    0.065    0.000 lowering.py:1511(delvar)
       47    0.000    0.000    0.064    0.001 untyped_passes.py:192(run_pass)
