#=====================================================
# File created:        Tue-12-Mar-2024-at-02-24-17AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.065608
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2484.4869  0.2559 
   00001    0.6836   -3652.5455  0.2569 
   00002    0.6176   -4321.2332  0.2659 
   00003    0.5912   -4899.5456  0.2752 
   00004    0.5684   -5255.2429  0.2686 
   00005    0.5408   -5497.2483  0.2733 
   00006    0.5180   -5738.6596  0.2760 
   00007    0.5124   -5999.8921  0.2807 
   00008    0.4972   -6187.0962  0.2835 
   00009    0.4952   -6379.6018  0.2861 
   00010    0.4920   -6541.3819  0.2916 
   00011    0.4740   -6586.1077  0.2897 
   00012    0.4860   -6671.3538  0.2944 
   00013    0.4840   -6783.4668  0.2969 
   00014    0.4720   -6933.8716  0.3000 
   00015    0.4760   -7000.4502  0.3008 
   00016    0.4724   -7022.0579  0.3069 
   00017    0.4496   -7057.1904  0.3067 
   00018    0.4444   -7114.4795  0.3136 
   00019    0.4552   -7173.1164  0.3093 
   00020    0.4648   -7208.4046  0.3216 
   00021    0.4584   -7213.7285  0.3151 
   00022    0.4548   -7281.9774  0.3155 
   00023    0.4420   -7367.8725  0.3171 
   00024    0.4532   -7385.1529  0.3247 
   00025    0.4476   -7398.9310  0.3264 
   00026    0.4564   -7430.5855  0.3240 
   00027    0.4468   -7417.6947  0.3238 
   00028    0.4688   -7466.6597  0.3286 
   00029    0.4336   -7456.8332  0.3255 
   00030    0.4292   -7463.9027  0.3316 
   00031    0.4368   -7517.6220  0.3343 
   00032    0.4280   -7544.8415  0.3345 
   00033    0.4316   -7527.0937  0.3313 
   00034    0.4376   -7531.8660  0.3367 
   00035    0.4300   -7542.0518  0.3353 
   00036    0.4396   -7546.3617  0.3359 
   00037    0.4428   -7584.4231  0.3374 
   00038    0.4504   -7587.6282  0.3269 
   00039    0.4280   -7560.6361  0.3265 
   00040    0.4460   -7563.0254  0.3299 
   00041    0.4456   -7583.1493  0.3307 
   00042    0.4396   -7584.7535  0.3328 
   00043    0.4468   -7652.3321  0.3332 
   00044    0.4308   -7633.4295  0.3322 
   00045    0.4492   -7678.4981  0.3311 
   00046    0.4216   -7692.8703  0.3309 
   00047    0.4380   -7673.7186  0.3238 
   00048    0.4336   -7605.4032  0.3205 
   00049    0.4496   -7673.5373  0.3221 
   00050    0.4212   -7723.5586  0.3259 
