#=====================================================
# File created:        Wed-13-Mar-2024-at-12-54-14AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.763039
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2498.1743  0.2681 
   00001    0.6776   -3631.6358  0.2692 
   00002    0.6344   -4379.0557  0.2759 
   00003    0.5936   -4983.2755  0.2790 
   00004    0.5608   -5438.9088  0.2900 
   00005    0.5400   -5807.0306  0.2976 
   00006    0.5236   -6111.6059  0.3027 
   00007    0.5168   -6316.3093  0.3082 
   00008    0.5036   -6501.4957  0.3184 
   00009    0.4804   -6703.6401  0.3209 
   00010    0.4804   -6870.1584  0.3241 
   00011    0.4816   -7025.8980  0.3228 
   00012    0.4568   -7114.8946  0.3202 
   00013    0.4592   -7218.4443  0.3225 
   00014    0.4636   -7287.8771  0.3354 
   00015    0.4752   -7275.6512  0.3397 
   00016    0.4748   -7303.2128  0.3401 
   00017    0.4612   -7398.5472  0.3423 
   00018    0.4680   -7508.0206  0.3481 
   00019    0.4484   -7545.7806  0.3466 
   00020    0.4468   -7616.5369  0.3513 
   00021    0.4484   -7607.9650  0.3522 
   00022    0.4632   -7678.4102  0.3556 
   00023    0.4260   -7715.8041  0.3693 
   00024    0.4196   -7787.8465  0.3781 
   00025    0.4112   -7844.0289  0.3830 
   00026    0.4276   -7895.3473  0.3881 
   00027    0.4492   -7883.5969  0.3952 
   00028    0.4408   -7907.6919  0.3966 
   00029    0.4316   -7939.4558  0.3953 
   00030    0.4308   -7912.2292  0.4041 
   00031    0.4296   -7919.0289  0.4093 
   00032    0.4344   -7978.8454  0.4204 
   00033    0.4464   -8025.5543  0.4254 
   00034    0.4300   -7987.8142  0.4277 
   00035    0.4488   -7943.6750  0.4336 
   00036    0.4376   -7960.0117  0.4301 
   00037    0.4224   -8009.7503  0.4308 
   00038    0.4448   -8009.6719  0.4322 
   00039    0.4388   -8036.9868  0.4441 
   00040    0.4108   -8054.0694  0.4413 
   00041    0.4280   -8023.4796  0.4392 
   00042    0.4220   -7966.2368  0.4505 
   00043    0.4472   -8010.4572  0.4539 
   00044    0.4248   -8041.9353  0.4589 
   00045    0.4268   -8074.7563  0.4616 
   00046    0.4292   -8103.4797  0.4592 
   00047    0.4156   -8116.2723  0.4614 
   00048    0.4300   -8147.2785  0.4623 
   00049    0.4216   -8186.1286  0.4677 
   00050    0.4248   -8172.8169  0.4732 
