#=====================================================
# File created:        Wed-13-Mar-2024-at-12-34-08AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.281953
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2480.0402  0.2665 
   00001    0.6952   -3669.8317  0.2857 
   00002    0.6284   -4537.5652  0.2798 
   00003    0.5928   -5063.3076  0.2822 
   00004    0.5500   -5483.4483  0.2886 
   00005    0.5400   -5803.7487  0.2869 
   00006    0.5232   -6004.8784  0.2922 
   00007    0.5184   -6247.7655  0.2927 
   00008    0.5088   -6451.7606  0.2960 
   00009    0.4932   -6642.1002  0.2895 
   00010    0.4884   -6777.2567  0.2868 
   00011    0.4628   -6959.2333  0.2809 
   00012    0.4752   -7044.4344  0.2793 
   00013    0.4764   -7104.8515  0.2728 
   00014    0.4580   -7107.6874  0.2709 
   00015    0.4688   -7256.6060  0.2654 
   00016    0.4552   -7269.8361  0.2604 
   00017    0.4340   -7392.3626  0.2601 
   00018    0.4528   -7443.0645  0.2573 
   00019    0.4592   -7496.2920  0.2558 
   00020    0.4424   -7525.6444  0.2517 
   00021    0.4560   -7556.3492  0.2518 
   00022    0.4472   -7606.1783  0.2522 
   00023    0.4532   -7609.8421  0.2562 
   00024    0.4428   -7653.5499  0.2597 
   00025    0.4388   -7688.2195  0.2588 
   00026    0.4596   -7745.1550  0.2578 
   00027    0.4364   -7770.0062  0.2610 
   00028    0.4324   -7749.8063  0.2615 
   00029    0.4636   -7789.0247  0.2665 
   00030    0.4464   -7841.9917  0.2675 
   00031    0.4420   -7827.5958  0.2713 
   00032    0.4424   -7857.2034  0.2727 
   00033    0.4456   -7865.2647  0.2744 
   00034    0.4432   -7836.9511  0.2766 
   00035    0.4424   -7856.7395  0.2766 
   00036    0.4244   -7865.7752  0.2794 
   00037    0.4264   -7913.6782  0.2767 
   00038    0.4376   -7883.4135  0.2770 
   00039    0.4356   -7981.4944  0.2853 
   00040    0.4296   -8039.0417  0.2840 
   00041    0.4384   -8050.8652  0.2843 
   00042    0.4388   -8032.5490  0.2796 
   00043    0.4212   -8027.8711  0.2788 
   00044    0.4276   -8045.0299  0.2783 
   00045    0.4284   -8039.9186  0.2870 
   00046    0.4268   -7994.8188  0.2908 
   00047    0.4312   -8027.3538  0.2896 
   00048    0.4376   -8018.6520  0.2946 
   00049    0.4284   -7996.6310  0.2965 
   00050    0.4180   -8052.1563  0.2964 
