LebwohlLasher5.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.348, Time: 0.554908 s
         9357738 function calls (8858687 primitive calls) in 3.573 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    61225    0.022    0.000    0.182    0.000 pprint.py:454(_repr)
       49    0.000    0.000    0.182    0.004 codegen.py:667(_optimize_final_module)
       98    0.000    0.000    0.181    0.002 passmanagers.py:665(run)
3238/2032    0.004    0.000    0.179    0.000 functools.py:981(__get__)
        6    0.000    0.000    0.178    0.030 numbers.py:206(int_power_impl)
        1    0.000    0.000    0.166    0.166 config.py:1(<module>)
     1318    0.059    0.000    0.163    0.000 pprint.py:377(_format_dict_items)
119732/61225    0.028    0.000    0.156    0.000 pprint.py:463(format)
206497/36009    0.109    0.000    0.148    0.000 ir.py:317(_rec_list_vars)
22547/20095    0.038    0.000    0.146    0.000 {built-in method builtins.sorted}
119732/61225    0.052    0.000    0.141    0.000 pprint.py:551(_safe_repr)
        1    0.000    0.000    0.136    0.136 dylib.py:1(<module>)
        1    0.000    0.000    0.135    0.135 ffi.py:1(<module>)
      100    0.000    0.000    0.134    0.001 artist.py:159(_update_set_signature_and_docstring)
    29936    0.007    0.000    0.133    0.000 ir.py:350(list_vars)
       99    0.000    0.000    0.132    0.001 artist.py:126(__init_subclass__)
        2    0.000    0.000    0.131    0.066 __init__.py:342(__init__)
        2    0.131    0.066    0.131    0.066 {built-in method _ctypes.dlopen}
      256    0.000    0.000    0.129    0.001 module.py:233(__repr__)
        1    0.000    0.000    0.129    0.129 figure.py:1(<module>)
       48    0.000    0.000    0.128    0.003 untyped_passes.py:79(run_pass)
       48    0.002    0.000    0.128    0.003 interpreter.py:1352(interpret)
      256    0.001    0.000    0.127    0.000 module.py:207(_get_body_lines)
      256    0.001    0.000    0.127    0.000 module.py:212(<listcomp>)
        1    0.000    0.000    0.126    0.126 arrayobj.py:2109(array_ravel)
       29    0.000    0.000    0.121    0.004 lowering.py:301(create_cfunc_wrapper)
       29    0.001    0.000    0.121    0.004 cpu.py:193(create_cfunc_wrapper)
      728    0.000    0.000    0.120    0.000 values.py:1010(__str__)
       16    0.000    0.000    0.120    0.008 npyimpl.py:335(numpy_ufunc_kernel)
      469    0.001    0.000    0.120    0.000 typeinfer.py:699(__call__)
      728    0.000    0.000    0.120    0.000 values.py:1003(descr)
120647/65433    0.030    0.000    0.115    0.000 {method 'format' of 'str' objects}
      480    0.020    0.000    0.113    0.000 analysis.py:23(compute_use_defs)
    45530    0.024    0.000    0.112    0.000 event.py:209(broadcast)
        6    0.000    0.000    0.108    0.018 npyimpl.py:229(_build_array)
