#=====================================================
# File created:        Mon-11-Mar-2024-at-11-30-59PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.083925
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2379.9311  0.2598 
   00001    0.6892   -3673.3948  0.2590 
   00002    0.6236   -4448.1629  0.2562 
   00003    0.6008   -5036.3788  0.2612 
   00004    0.5560   -5417.7837  0.2621 
   00005    0.5424   -5759.1412  0.2653 
   00006    0.5352   -6005.4855  0.2676 
   00007    0.5180   -6206.0805  0.2799 
   00008    0.5096   -6445.4448  0.2834 
   00009    0.5064   -6618.4319  0.2882 
   00010    0.4984   -6833.6860  0.2892 
   00011    0.4740   -6967.0841  0.2896 
   00012    0.4616   -7120.9229  0.2922 
   00013    0.4652   -7156.9720  0.2894 
   00014    0.4608   -7201.2782  0.2872 
   00015    0.4396   -7267.2899  0.2833 
   00016    0.4480   -7344.8378  0.2831 
   00017    0.4468   -7365.0055  0.2732 
   00018    0.4560   -7454.5947  0.2747 
   00019    0.4436   -7478.5619  0.2707 
   00020    0.4592   -7534.8918  0.2707 
   00021    0.4512   -7583.5375  0.2805 
   00022    0.4368   -7633.4574  0.2793 
   00023    0.4552   -7719.9209  0.2792 
   00024    0.4292   -7722.3269  0.2859 
   00025    0.4276   -7749.3585  0.2775 
   00026    0.4308   -7744.3197  0.2739 
   00027    0.4332   -7760.1705  0.2741 
   00028    0.4372   -7784.9514  0.2708 
   00029    0.4540   -7781.2639  0.2664 
   00030    0.4568   -7837.7101  0.2750 
   00031    0.4376   -7907.8998  0.2751 
   00032    0.4508   -7857.3756  0.2719 
   00033    0.4176   -7854.7003  0.2680 
   00034    0.4364   -7914.8462  0.2672 
   00035    0.4364   -7913.3036  0.2636 
   00036    0.4360   -7922.0451  0.2619 
   00037    0.4340   -7912.3779  0.2636 
   00038    0.4340   -7912.5448  0.2623 
   00039    0.4472   -7914.8846  0.2642 
   00040    0.4216   -7926.3727  0.2651 
   00041    0.4296   -7983.4218  0.2672 
   00042    0.4256   -7974.8434  0.2652 
   00043    0.4180   -7959.4765  0.2695 
   00044    0.4164   -7992.6874  0.2691 
   00045    0.4300   -7994.9588  0.2644 
   00046    0.4384   -7983.9603  0.2676 
   00047    0.4068   -7974.5852  0.2694 
   00048    0.4444   -7980.7674  0.2627 
   00049    0.4332   -7992.5076  0.2703 
   00050    0.4276   -8007.8390  0.2611 
